species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1530,1970,-1434846.64293422,652215.273932057,1959222.49210822,794641.677915091
1530,1971,-1404162.95503817,655823.148239366,1563824.36607959,648571.555654632
1530,1972,-1381024.33291683,657879.838241369,1318212.95893049,558571.166535708
1530,1973,-1342843.29089035,661839.930274499,1153356.35432785,501544.245016279
1530,1974,-1356714.08867709,661438.431635579,1088515.42597507,471586.488312412
1530,1975,-1298494.96493116,666169.841425904,902706.557547947,414534.13917817
1530,1976,-1323047.61778739,663770.198909281,963066.521068024,428123.128931372
1530,1977,-1280731.1068011,669951.458393812,808786.237902978,381100.544966278
1530,1978,-1248969.04995286,671178.479247524,743642.584023835,361546.844026145
1530,1979,-1236812.2784516,672469.545749144,681543.275129691,339135.840707883
1530,1980,-1232933.27406648,672941.229219433,657360.480568156,325689.903979826
1530,1981,-1228256.71014977,670792.212855474,631461.442609223,315918.192457631
1530,1982,-1206137.66554819,677256.557155414,625687.929451864,316757.646290532
1530,1983,-1206490.7740093,675850.86741597,581267.448866082,299920.817896544
1530,1984,-1191483.9865706,676440.929863319,598137.299409059,312310.529610935
1530,1985,-1190871.63547137,681416.808084419,607767.751877682,315137.005244575
1530,1986,-1151887.39256542,683350.265269906,536431.347644973,294159.752032408
1530,1987,-1177617.15493243,680248.096695593,535372.751031149,287688.888527863
1530,1988,-1157953.50517072,679029.303293816,527604.563341508,280400.308737739
1530,1989,-1157261.69895608,680274.273574996,512731.918295366,277241.795103879
1530,1990,-1156961.10455154,681338.791792841,514489.940555513,280307.814778805
1530,1991,-1149025.67196835,680507.357232177,488309.453433698,276368.670731026
1530,1992,-1143690.04337406,684635.556266319,511864.215765418,284310.487178
1530,1993,-1134653.78430106,684151.564550743,483902.474735332,275294.231688159
1530,1994,-1108999.87982237,689548.24558677,496003.231468235,284153.221080121
1530,1995,-1122818.71482475,679561.189811535,472056.012116366,270829.285464613
1530,1996,-1146484.93148081,679178.172017592,532823.09991534,288075.122646144
1530,1997,-1089868.19363342,686002.114161561,445608.413348228,276911.751112116
1530,1998,-1119483.8668248,680882.910646421,465024.233951825,276136.841149329
1530,1999,-1062138.60198204,694257.710587852,444862.799393758,283649.702110366
1530,2000,-1118553.74411786,682400.928400127,479258.995006285,275757.842937336
1530,2001,-1106134.59820237,687459.666712338,488157.301228958,286152.223927069
1530,2002,-1078313.53730586,690654.155568413,430658.826058996,270631.903204358
1530,2003,-1129282.56409676,677633.214579207,478735.541770729,268077.46005424
1530,2004,-1085886.51775501,690639.007253878,461269.023334633,281720.256497854
1530,2005,-1188966.9905826,665110.346314897,489203.6599581,257759.56999181
1530,2006,-1161672.12918462,671748.936931246,486035.425982466,270232.706405382
1530,2007,-1098991.13977017,694955.862365097,471731.051949431,282686.591720233
1530,2008,-1144194.08143354,677185.052742966,494855.575724903,269900.793288171
1530,2009,-1085669.72471665,693592.250686179,469137.177222394,290115.700311073
1530,2010,-1053396.50288782,698578.567368258,464022.008580326,306639.191734289
1530,2011,-1109215.14818714,686831.209087855,523614.513443721,299767.793156922
1530,2012,-1178131.35769035,675852.688262484,539677.457711181,281109.963220007
1530,2013,-1176639.21275629,678291.068846099,522519.953765252,280646.126410486
1530,2014,-1173291.0573816,682116.691586528,581415.049156577,306269.238304869
1530,2015,-1217281.22024019,674409.670276106,601686.671557268,302529.750593165
1530,2016,-1276126.16341,657370.161492624,680669.962479201,315658.739698874
1530,2017,-1297012.16420928,655692.006174658,746138.916029509,341923.544995056
1530,2018,-1269603.54386782,664130.115422454,732475.028671366,349518.155924318
1530,2019,-1251895.37867267,677871.699059747,946887.331154048,446632.88419307
