species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
40,1970,898279.78513646,-786671.29545716,272998367.527409,210810748.366757
40,1971,899114.167681627,-789101.829963494,250387140.771951,193568483.248448
40,1972,797285.568985077,-782506.144413084,186878741.22442,149990932.15826
40,1973,821614.685297754,-787876.262138969,177972647.211069,141915379.245564
40,1974,772826.26926231,-766744.535611752,151200205.028285,121368227.226811
40,1975,652586.811293757,-760923.094824425,123249177.921156,103202776.950814
40,1976,558163.021005691,-740918.619244158,101925871.683584,87153712.5137548
40,1977,481043.815406435,-717072.270020023,79507703.9870221,68672084.364207
40,1978,393239.611711074,-701577.954704732,69233883.4107027,60723809.0312398
40,1979,150113.293716763,-677250.6934163,49502214.9520318,44782831.8209696
40,1980,-7766.21592880915,-631439.136208716,40599074.5157888,36034046.8769528
40,1981,-250053.230678056,-568723.017965922,32532485.1148843,27220871.2087892
40,1982,-153420.94750483,-590319.58012188,31141939.0058855,26748145.4436158
40,1983,-273892.664444473,-588332.833750371,24183621.0680646,20367578.5987521
40,1984,-526575.364870362,-577218.013063315,15765310.389155,12350158.1662938
40,1985,-587707.866124474,-546886.456807872,14250859.7137604,10747331.3040866
40,1986,-568723.459118394,-570324.923908578,11826592.6394579,9091207.16327075
40,1987,-775542.844277378,-498624.660546641,9611864.880624,6573018.56245675
40,1988,-642693.175932808,-528750.962426863,9653362.54205922,7056583.80832608
40,1989,-833183.66899275,-457327.070536025,7865542.53233164,5136305.91530449
40,1990,-898291.739652958,-423506.994803173,6916598.33864985,4315133.07776623
40,1991,-1003332.50106546,-390799.98385807,5968093.46988967,3502775.83525469
40,1992,-1104999.90301114,-404318.803613077,3733133.04569881,2104871.13403528
40,1993,-1120933.45233,-387598.888405532,3219226.24916788,1778545.89703438
40,1994,-1271454.93991814,-313967.761668535,2319926.40541491,1152220.99059596
40,1995,-1325247.11631818,-363941.146025636,1503792.86833804,735299.543117651
40,1996,-1353192.33193121,-309682.018077781,1222335.53255076,536988.693756909
40,1997,-1380763.7993973,-315815.106786525,1125761.96652194,503636.603993171
40,1998,-1535248.11054503,-236794.232278438,1064903.35551748,294532.756715984
40,1999,-1434007.78048263,-317950.678057524,704122.611294084,276719.600212049
40,2000,-1532519.81801867,-252616.052094286,643442.222461068,211033.192331548
40,2001,-1575968.62488549,-238107.649544595,587601.305796365,179807.284971813
40,2002,-1584311.78431986,-238104.387088173,570446.051959659,159673.251989587
40,2003,-1604646.42438706,-201911.736434648,534529.761357289,131495.431937385
40,2004,-1679473.90542858,-186668.862151611,517102.207542874,105129.571073842
40,2005,-1671500.74431235,-191398.632616435,510315.766873876,102595.547735764
40,2006,-1568134.5493922,-258554.959976873,475598.496690333,108640.707974765
40,2007,-1693225.33694813,-169516.074288174,554421.979000114,87680.7263740047
40,2008,-1597666.50761952,-240826.642737477,465192.048268472,93417.4392078376
40,2009,-1708652.60733929,-172340.063865867,525840.394261189,82449.331649864
40,2010,-1619820.41211294,-212439.254205914,511747.078656686,106094.940720973
40,2011,-1616777.10945233,-156067.839762195,507329.028861025,79597.5501949604
40,2012,-1700285.13255761,-181366.709001993,524543.201617063,84131.9046712327
40,2013,-1682912.60131084,-160684.343493349,555600.775245483,84923.149609511
40,2014,-1743767.75332862,-168682.396271363,518851.805714832,82301.7318014373
40,2015,-1682687.17107729,-154607.877960568,547537.72513249,77141.2194305941
40,2016,-1672101.0082814,-183772.452426158,559101.194661063,97220.1412125659
40,2017,-1646236.15331959,-193796.264012185,629484.327190901,126396.746693777
40,2018,-1652250.48040661,-108420.55022773,631246.387914942,95259.4906286752
40,2019,-1660190.13646988,-102068.89413822,665902.292487428,97884.7625156514
