species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
650,1970,1075562.61943615,-1032983.46942238,552462.177115905,525916.868108576
650,1971,1074601.76504316,-1037122.2607827,537142.290119139,516137.793205796
650,1972,1078489.65791496,-1025406.33309904,533910.497617575,506308.342944471
650,1973,1074282.16049867,-1018987.51486657,551554.050950148,518587.419711574
650,1974,1075426.99581586,-1013808.97426361,532493.507316442,500959.735755052
650,1975,1095811.94278277,-976465.817237611,549789.694080823,476337.801880974
650,1976,1074108.47755216,-1011184.67651163,528238.878949386,494195.774673689
650,1977,1060065.81722101,-1013678.38100716,541524.584779015,510032.06349187
650,1978,1070622.45090652,-996874.950388524,549741.683240595,505544.171251867
650,1979,1047692.4950456,-1013026.27684675,554138.249306274,525036.7809086
650,1980,1065927.45188328,-995303.398773022,563727.941362866,520432.151909774
650,1981,1027756.53682335,-1031628.75262557,544103.216160775,537907.470724695
650,1982,1047551.90222572,-1001671.47423711,589578.03132302,548531.944452701
650,1983,1037080.39777586,-1004077.20004847,560376.904779991,529920.832175276
650,1984,1032170.46123876,-1008537.82092111,548905.061724556,534655.821543734
650,1985,1053787.43804821,-978943.543100983,582264.678761012,533386.588767791
650,1986,1025753.34953502,-1000495.42961982,568672.64320385,547069.219140229
650,1987,1031753.15569395,-993443.816208177,574824.179441378,538729.029032056
650,1988,1022182.35638602,-991601.895565484,564788.595908243,533520.858468451
650,1989,1009040.97689373,-1012012.80629407,553871.73491719,541963.562852404
650,1990,1019286.62389982,-1000201.80238168,559608.595483881,538027.124048345
650,1991,1018332.98426164,-988407.482567997,614568.377185953,570252.241561885
650,1992,1013490.45083772,-992227.065954355,563697.801023891,538330.925078344
650,1993,1015833.82365164,-989815.914547101,578764.053582657,545325.236928128
650,1994,996520.31513724,-996918.823187109,599153.751010186,574001.43036159
650,1995,985294.556127396,-992669.331970028,568576.250141234,559781.964829442
650,1996,979980.72298862,-1003976.31119861,552485.958069024,548777.001093068
650,1997,936246.896727667,-1005736.39296004,556984.224667905,571626.913738771
650,1998,946700.838147843,-1004073.14799797,564286.764867479,570496.726814893
650,1999,953032.809250876,-994602.172867878,585447.789264895,585353.604535452
650,2000,954631.166777616,-982877.291752472,601274.908923441,587724.549441702
650,2001,930258.979928029,-995524.558087986,577161.859533649,581358.794027692
650,2002,951373.840009338,-986081.757427552,601148.187645447,594655.780365177
650,2003,898024.597253786,-999735.448733563,543287.904183191,574884.055135834
650,2004,925637.716903877,-997409.582695264,562702.640805426,576412.7958035
650,2005,920333.404095952,-991346.444509956,553661.874235406,568016.958263445
650,2006,897515.839961965,-988893.661471216,558321.635709339,570066.364964162
650,2007,904506.244910895,-972666.889525563,614624.378506342,602451.311490468
650,2008,903554.174255131,-969471.012459281,594887.906413493,598707.706527314
650,2009,874453.885350721,-963627.655843257,556197.783925153,568972.083958171
650,2010,890286.089195382,-969917.588684661,566114.953423702,574327.391679773
650,2011,863517.31419766,-975501.581349608,560534.019258193,578813.791274813
650,2012,885058.535166379,-963290.269885986,603259.217960728,608088.627767331
650,2013,884775.018354305,-956043.132021155,597442.12762865,582899.483718138
650,2014,856163.218221071,-951639.393710323,574752.619988116,584931.52279139
650,2015,852598.929279887,-941908.775522504,599626.20430058,593340.13185416
650,2016,843888.652958224,-934306.172005103,592070.618641448,592373.841432345
650,2017,854545.477417208,-957055.75547289,564540.072534533,577903.866956179
650,2018,829582.287437192,-953664.131809192,575723.34444586,603123.997256295
650,2019,837472.95134259,-934814.488810906,574863.412670339,582907.690186082
