species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1520,1970,-1463532.56026526,827526.048367646,733662.364788694,429805.71936768
1520,1971,-1414637.11702583,836861.0576997,697551.476827207,416919.274435228
1520,1972,-1353673.42246553,811133.760393429,3374707.85646334,2407918.86547386
1520,1973,-1451716.04171447,837668.977565945,711221.330306379,424707.63735773
1520,1974,-1477502.23293943,834875.235184574,675466.302342047,394415.072207846
1520,1975,-1432669.53977268,837057.149366443,1318504.80478159,889352.84104222
1520,1976,-1414395.32834126,812895.180804594,1396823.08081214,944819.501511398
1520,1977,-1452181.65925481,828829.565503897,1048614.04279516,681511.298499061
1520,1978,-1444604.30148963,821851.50650498,1254922.44399041,832929.690584683
1520,1979,-1464864.53618529,819906.093160856,996699.056876632,638893.243367315
1520,1980,-1450904.79132051,826348.607088578,611581.862564744,354596.25225159
1520,1981,-1467290.03677327,818313.649119963,600575.788199139,344863.570180654
1520,1982,-1362775.88767783,836773.412253174,592809.910018064,355504.544533206
1520,1983,-1329321.06360146,820609.490703157,2671200.22287298,1940334.08843762
1520,1984,-1431954.23175439,823980.536568721,582705.550768079,336940.6951365
1520,1985,-1366038.09985114,812155.434539829,830736.956493844,551933.791228568
1520,1986,-1431154.82765357,816451.227018967,611785.34835999,368989.447535343
1520,1987,-1430888.86884728,803349.682912533,547588.437040182,309017.874792149
1520,1988,-1391529.05233177,813415.089849474,557796.497873337,318444.658664541
1520,1989,-1374807.25488862,807698.770857412,722306.47624331,461538.270551129
1520,1990,-1349563.01818098,795838.342058268,1471960.78157828,1026598.71357362
1520,1991,-1396895.25716778,783840.162884376,682492.84169657,423514.887189836
1520,1992,-1359222.6908792,789927.302335513,517367.348130192,292548.18765574
1520,1993,-1375868.14808436,786782.386385483,512780.659557515,287038.131041531
1520,1994,-1376214.23166189,783003.400665016,661456.066466911,411344.732918304
1520,1995,-1396258.53896407,758412.431251427,490288.621809133,262830.401660126
1520,1996,-1354879.17788987,772659.387340132,544146.589199332,315457.545629426
1520,1997,-1357188.91124241,772038.338467977,482571.099460145,267725.949059772
1520,1998,-1377713.01955207,772292.172345734,487659.73417307,269405.613456004
1520,1999,-1301341.2212515,771550.233582778,640129.002011484,411611.62220442
1520,2000,-1393226.00579759,771534.731595266,475783.192123215,258990.873238014
1520,2001,-1380317.72567161,761858.44959185,471914.162128821,257395.273888809
1520,2002,-1312628.55303606,775131.796775521,463285.087388781,257239.639648632
1520,2003,-1281626.33500764,754568.225691537,471820.923200344,251270.536511491
1520,2004,-1319658.8109767,736331.161444892,484319.186292785,252039.67101061
1520,2005,-1248943.84956338,751588.518910082,466320.028444313,255913.955256883
1520,2006,-1304328.38230392,735814.968319923,510689.898965759,271285.821203099
1520,2007,-1221518.14120284,747588.455950149,610323.020443265,395737.2456713
1520,2008,-1333318.82134693,727677.50126629,463596.3973712,243322.35616534
1520,2009,-1289222.54631325,732199.903815022,546918.976391855,322853.497392108
1520,2010,-1198179.98923549,748944.547295983,468016.299126975,264986.816854379
1520,2011,-1192872.46752247,724771.095854687,936333.206925676,661935.964288715
1520,2012,-1210396.46845947,724368.690652423,437630.529168005,245125.115515482
1520,2013,-1266285.47430777,715464.154553616,451293.303398737,237941.555606594
1520,2014,-1151380.18477449,732782.521267146,447196.027016684,255843.127291015
1520,2015,-1081519.03681774,738167.489790398,477880.621883547,280946.199829725
1520,2016,-1211839.58759604,717850.664474326,722822.276575436,478463.416862764
1520,2017,-1132312.26586596,718388.227876509,480746.659028579,266562.751049985
1520,2018,-1193695.97294437,696466.25511224,447358.112966938,240476.004397607
1520,2019,-1046248.92449512,709669.320779843,508590.343936248,285679.000707325
