species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1390,1970,-194350.949236612,-807025.659710767,269475.387634403,600547.850487433
1390,1971,-227519.440178459,-793354.675810083,258339.692061176,551938.682573973
1390,1972,-255446.753895078,-752452.838911341,249357.144776607,490810.574875606
1390,1973,-290676.537147482,-742892.382408272,265531.199744861,492143.765711949
1390,1974,-240420.971938254,-749110.651248869,240420.693549499,515881.829860852
1390,1975,-313845.109343224,-714235.515818424,235960.200404793,422993.368398185
1390,1976,-280723.993519025,-747496.70796567,221828.210335961,467787.72974661
1390,1977,-245302.439372512,-746703.962913453,235010.236122497,543876.660834611
1390,1978,-288910.941487439,-725656.686413062,228692.754080425,468907.416997935
1390,1979,-262404.744795948,-736608.059478581,248277.552465223,570643.549813287
1390,1980,-335034.130847411,-698784.455150467,222516.056585139,429368.311076403
1390,1981,-333970.36557552,-680331.61693155,232159.525838992,444705.718529615
1390,1982,-407871.99970277,-628024.031056874,228953.994853421,347528.585240223
1390,1983,-416551.956869411,-631354.119433312,224650.465948967,335865.543437413
1390,1984,-381994.271180472,-645745.058941822,216243.645395489,356259.588689711
1390,1985,-439820.246455276,-610244.423811962,220560.955223515,316416.022992614
1390,1986,-378024.244378662,-650642.985166153,205222.478945647,347208.851454236
1390,1987,-485438.447848444,-563547.067276548,225301.877593385,278305.768110226
1390,1988,-482998.646171471,-600402.973360133,273161.479254339,350043.143513975
1390,1989,-457542.520346881,-574045.795129158,213705.201746431,288776.718072656
1390,1990,-435270.997630329,-614373.325329225,204718.627862988,314670.466094937
1390,1991,-586326.97996601,-504865.855229926,235140.624425011,246159.782357466
1390,1992,-597904.191754109,-474810.604496406,247616.680982519,274433.401979513
1390,1993,-568140.069458471,-475785.954442625,241605.147637881,275360.771692296
1390,1994,-568602.651382488,-500051.033119105,240235.54926721,265884.977593707
1390,1995,-547675.110079369,-505533.662252715,224637.757013078,266884.258627917
1390,1996,-560537.258219694,-481033.54918606,248320.346055444,277029.810767516
1390,1997,-565172.884466008,-477049.78097494,207583.452395247,221237.839495552
1390,1998,-582616.023299594,-441937.892848504,211784.43074253,204095.838108277
1390,1999,-597122.579299812,-407809.90038971,211016.024968552,176551.863152275
1390,2000,-610293.792949421,-414762.06976645,216043.998782039,170033.23048228
1390,2001,-709683.329658552,-348633.274815468,256480.011850145,181593.980978227
1390,2002,-687614.448664046,-319505.799526659,232401.630992308,161587.89919336
1390,2003,-802046.975966901,-241832.68598442,274007.055213669,142960.035658026
1390,2004,-722987.621611335,-293587.287367825,249461.0845041,157323.49275759
1390,2005,-780610.134496224,-262823.122892361,251345.962200023,149845.419456595
1390,2006,-727508.339107298,-319212.615353623,260772.117555372,148488.86567948
1390,2007,-677785.060660791,-338469.952176616,210894.900392297,153144.576937878
1390,2008,-696541.480622858,-272139.327279454,244946.69226437,147904.733182822
1390,2009,-703874.896937036,-330856.187465295,250767.542249857,179280.864024566
1390,2010,-819616.76979117,-238905.888781325,245016.345596071,136391.584628929
1390,2011,-685840.14663897,-320093.946874421,232625.569754695,197053.708564736
1390,2012,-725750.992735139,-292850.81775512,227311.451032673,157410.825058543
1390,2013,-751361.780879451,-218671.235375429,242227.546532271,136420.031087734
1390,2014,-851642.949947532,-154952.199164449,287927.077654721,144279.305423799
1390,2015,-853283.33746067,-121582.528381156,306463.071348256,150688.197539198
1390,2016,-929413.82735169,-84435.8136330621,324547.432851049,143091.255111909
1390,2017,-872128.984608047,-109824.529519465,310677.391771149,153150.785316012
1390,2018,-844692.506421027,-118461.574749848,318962.073097263,146790.440818021
1390,2019,-759862.615509798,-135394.277797629,309400.431551212,174180.97386204
