species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
600,1970,850342.5,883416.6,2276249.58371048,2364784.38729141
600,1971,850342.5,883416.6,2204775.31466492,2290530.12415351
600,1972,850342.5,883416.6,1961764.03751395,2038066.91522229
600,1973,850342.5,883416.6,1815983.27788974,1886616.00805733
600,1974,850342.5,883416.6,1796222.05715425,1866086.17397758
600,1975,850342.5,883416.6,1744345.16408748,1812191.52741224
600,1976,850342.5,883416.6,1638048.73435279,1701760.6944709
600,1977,850342.5,883416.6,1636527.12420467,1700179.90124491
600,1978,850342.5,883416.6,1573155.29017311,1634343.21759813
600,1979,850342.5,883416.6,1545837.03029733,1605962.4130858
600,1980,850342.5,883416.6,1563404.79087521,1624213.47230216
600,1981,850342.5,883416.6,1341286.08046023,1393455.44717044
600,1982,850342.5,883416.6,1339365.83141355,1391460.50997241
600,1983,850342.5,883416.6,1366573.93785065,1419726.87662576
600,1984,850342.5,883416.6,1426814.8974534,1482310.91038043
600,1985,850342.5,883416.6,1346644.33103632,1399022.10708318
600,1986,850342.5,883416.6,1294386.92755125,1344732.15012896
600,1987,850342.5,883416.6,1270328.66144165,1319738.13694817
600,1988,850342.5,883416.6,1347178.60526897,1399577.1619301
600,1989,850342.5,883416.6,1272877.5657288,1322386.18095349
600,1990,850342.5,883416.6,1253461.63581721,1302215.06779346
600,1991,850342.5,883416.6,1261749.4405771,1310825.22699888
600,1992,850342.5,883416.6,1218332.45781373,1265719.53922691
600,1993,850342.5,883416.6,1275711.60264099,1325330.4478269
600,1994,850342.5,883416.6,1257485.76879891,1306395.71956314
600,1995,850342.5,883416.6,1259772.84141957,1308771.74795049
600,1996,850342.5,883416.6,1223003.71233196,1270572.48234718
600,1997,850342.5,883416.6,1168287.07903313,1213727.64375011
600,1998,850342.5,883416.6,1160761.61306657,1205909.47453077
600,1999,850342.5,883416.6,1110437.48014098,1153627.9827557
600,2000,850342.5,883416.6,1085686.42258326,1127914.23197798
600,2001,850342.5,883416.6,1158969.21671606,1204047.36286371
600,2002,850342.5,883416.6,1022011.44190889,1061762.61077706
600,2003,850342.5,883416.6,1082549.65234903,1124655.45695948
600,2004,850342.5,883416.6,1026252.28253519,1066168.39904301
600,2005,850342.5,883416.6,1073103.66008569,1114842.06250777
600,2006,850342.5,883416.6,853399.268710997,886592.261385092
600,2007,850342.5,883416.6,862229.083600368,895765.512224715
600,2008,850342.5,883416.6,872150.095835501,906072.402567843
600,2009,850342.5,883416.6,867694.128876218,901443.120622282
600,2010,850342.5,883416.6,810721.208625028,842254.236700024
600,2011,850342.5,883416.6,836219.580390502,868744.368503148
600,2012,850342.5,883416.6,780233.698253937,810580.913574183
600,2013,850342.5,883416.6,804409.444516049,835696.976311067
600,2014,850342.5,883416.6,781107.536992107,811488.74029987
600,2015,850342.5,883416.6,786926.801032654,817534.344813668
600,2016,850342.5,883416.6,883700.338258889,918071.892062617
600,2017,850342.5,883416.6,810181.782401214,841693.829474867
600,2018,850342.5,883416.6,894997.014974452,929807.953402603
600,2019,850342.5,883416.6,945990.064392421,982784.379207501
