species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
20,1970,-1246971.51272534,1010050.62894159,601571.128500425,388209.428634286
20,1971,-1356410.93887749,1011504.91253709,628418.961224458,395965.673401822
20,1972,-1208240.41882182,1005535.46757032,591371.211198214,384142.916902182
20,1973,-1253645.89819946,1007229.54919455,591412.871144473,380610.353046389
20,1974,-1090527.28017339,999080.914900029,546924.184978102,362287.005657812
20,1975,-1163634.68372533,1002181.93069301,559190.695490721,365951.062139522
20,1976,-1221148.30392041,1000306.18544585,566486.522368866,365765.7979579
20,1977,-1228874.42889518,1002011.16543452,569948.460482631,367553.353621663
20,1978,-1117874.18498594,995857.708593287,538853.429344543,354607.550952578
20,1979,-1186410.91386409,995721.332621505,544950.947224152,353454.111565957
20,1980,-883419.651547353,983183.685482824,489516.756280627,333598.709948008
20,1981,-1066443.43323332,988956.191548651,514768.939450574,341039.877035946
20,1982,-936171.120955217,982945.822892034,492923.338876053,333058.487056958
20,1983,-942812.361280647,982693.810957651,491468.510270246,331699.982496608
20,1984,-658295.930303247,971746.065390103,466875.894199833,325090.474257847
20,1985,-759863.675212738,971924.366613865,471593.006708887,325306.920015172
20,1986,-889927.092347941,974087.386697463,474178.411665408,320954.741542039
20,1987,-627775.791504218,962303.631180819,460243.202835312,319971.651371488
20,1988,-758717.77952722,973158.518576247,464227.72082598,319311.006935297
20,1989,-855657.097995928,969069.030253712,472059.810258157,321114.569429803
20,1990,-808815.889623753,963757.677894061,459982.085771162,313198.076077658
20,1991,-685434.602391425,956590.513372402,438498.921432847,303093.482460921
20,1992,-671386.291120038,953648.056465012,432715.288755152,299055.79648283
20,1993,-767376.95488782,948476.708191126,442361.077096128,303266.200363557
20,1994,-688645.677768691,956132.502318881,442640.266310427,305441.903268679
20,1995,-483369.003375296,933589.470382317,423518.648115205,300188.807821236
20,1996,-462721.9728742,934241.449601449,431772.271654578,304659.9016066
20,1997,-334499.76498116,928427.050664838,426681.131540962,297522.987372703
20,1998,-310089.949937127,924038.816918415,404999.287051358,280864.170085593
20,1999,-590222.347139586,929923.761014449,408511.340009326,280428.75824786
20,2000,-279474.757082598,924699.923113972,422452.309036514,293974.433798726
20,2001,-451796.131827381,932665.646649529,418418.504317589,289024.314499556
20,2002,-459935.835800222,913515.312481276,404225.627120893,283791.720491542
20,2003,-384584.197264801,920922.022932612,423880.879931422,297221.97416108
20,2004,-162249.850007719,908056.354980494,406151.759179973,281669.322741399
20,2005,-418177.12594518,896909.843306492,447665.53908821,323690.051107285
20,2006,-361868.580558054,905154.651238192,416610.622490492,295129.894207427
20,2007,-97627.3156998956,886678.319581931,419406.51602757,296262.470425435
20,2008,-514380.415416698,901598.173363342,428628.70252046,302074.12807876
20,2009,-359661.693210203,917156.700318937,408744.863755643,280351.494711241
20,2010,-150999.252687146,913517.255488513,415495.606169567,284630.005353909
20,2011,3471.62266958032,906947.985380775,423307.313356196,288903.541312506
20,2012,148248.22782998,898541.245752803,439192.813869363,294003.675721325
20,2013,267668.106683598,889835.895227862,480341.85859655,315465.759436946
20,2014,-221087.974176412,905033.614422966,421061.285999335,289336.254381494
20,2015,79457.7201519466,890099.93475084,440552.322075161,297074.436401985
20,2016,-40311.7127290545,888242.792142368,410006.194861707,276928.596036363
20,2017,-185976.747509225,891237.864281532,413927.627444786,284509.74926759
20,2018,-109133.740917356,897080.365073044,410821.09348638,277005.040001137
20,2019,116286.37390004,882180.855591007,424340.330523655,282556.54658656
