species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1770,1970,-209006.838046846,-1307374.64908052,141992.186567341,792131.640045078
1770,1971,-200747.282802822,-1304150.68429789,131386.570933277,765617.495442397
1770,1972,-194125.366795946,-1300064.06233548,121224.117343379,731908.206364015
1770,1973,-207195.753435511,-1306008.72306412,127802.667224738,736684.066200631
1770,1974,-198282.543521487,-1302264.91670511,126323.397880152,747502.312326572
1770,1975,-193103.069305682,-1299527.5683065,123835.057331161,757947.580298248
1770,1976,-206904.320625788,-1305574.26854449,130304.638644712,757878.636412443
1770,1977,-184535.395332725,-1294688.09972468,119446.678569298,768703.120795207
1770,1978,-174057.484840234,-1290620.92722257,111820.918831378,762845.045640934
1770,1979,-169377.64809903,-1287478.82755367,112967.841572374,808050.627663674
1770,1980,-178550.182939105,-1293513.97231818,113254.169935852,786681.6066176
1770,1981,-160365.020864898,-1284923.91475826,104853.752988776,859349.042308485
1770,1982,-217152.393067611,-1309553.24040324,133540.584634271,759057.795210999
1770,1983,-165834.825460069,-1287521.93976329,112309.050511866,842061.709047054
1770,1984,-169562.361978815,-1291146.05885889,111032.733701386,836289.727036414
1770,1985,-153736.859860142,-1282118.89586108,101590.131411118,884256.37198428
1770,1986,-147869.917286733,-1281350.02209325,97737.1528436935,903183.372053896
1770,1987,-128919.43300415,-1273517.49491223,92726.1467284163,997513.757953296
1770,1988,-141675.483551767,-1277820.00210221,97464.7299472254,968337.061087092
1770,1989,-147599.359235666,-1280235.69626177,100306.653072513,947181.804146341
1770,1990,-132140.08897856,-1273957.39159411,94776.0814868143,999498.187915413
1770,1991,-119856.79523805,-1266594.20124255,89255.195501079,1077264.21446627
1770,1992,-86307.7627638672,-1256280.78355718,70826.385890826,1252204.57403001
1770,1993,-128419.655121224,-1271318.461451,92145.0782282398,1046541.3917466
1770,1994,-98811.6056462047,-1255209.39980941,73928.493534465,1134565.31099597
1770,1995,-79784.3710308242,-1249228.40118909,65963.5658311734,1269770.92830129
1770,1996,-73113.1266356596,-1244863.74610657,59828.2916296672,1257404.26323823
1770,1997,-77162.0810532617,-1248313.67352427,66599.3218118182,1338986.94983116
1770,1998,-99738.9787697075,-1255530.79917527,79165.818236752,1181182.51726753
1770,1999,-69312.6988485247,-1243798.65666944,59639.7739368547,1322770.78180543
1770,2000,-88640.9857413833,-1257351.56087144,74793.9425293197,1260349.46028391
1770,2001,-65219.0604563357,-1248821.39084609,56252.4232939322,1328380.80335161
1770,2002,-87261.9457075589,-1258064.36668115,72529.1740609911,1226594.27963497
1770,2003,-76683.785464879,-1252679.30332124,63881.1225053002,1220687.80936781
1770,2004,-58310.0691829557,-1242039.50777745,49931.0958206933,1282909.7267169
1770,2005,-84982.5829239815,-1254278.57006914,65349.4909541929,1146633.56604142
1770,2006,-65641.4506101537,-1250954.76322822,58564.8083471602,1327070.12168598
1770,2007,-31588.3024147496,-1240005.26272383,33290.650631965,1435855.21650109
1770,2008,-57310.1453186549,-1247947.01240595,53733.3669685766,1361915.83594594
1770,2009,-74048.8800149475,-1253157.26473118,62012.7899134453,1183909.07761896
1770,2010,-36240.2360580636,-1246539.97428405,39162.8018074122,1238074.89257622
1770,2011,-38416.29971631,-1246793.96371549,44018.8348776554,1246817.27802779
1770,2012,-10432.154791477,-1244788.07079031,42329.3000860114,1141957.70034458
1770,2013,14701.9287588379,-1239280.2450001,44786.109337922,1149593.93187579
1770,2014,59851.2732701138,-1233722.6506868,66236.5397218682,1191083.93132655
1770,2015,108279.767983818,-1235497.99494045,104947.433256243,1249347.45514244
1770,2016,222555.283499151,-1234341.77463591,191621.973083023,1099574.16162034
1770,2017,125217.369782745,-1232522.65179001,116678.323210447,1113721.38027626
1770,2018,297478.507299204,-1230001.95088224,246804.332354982,1071312.5851496
1770,2019,245176.247724607,-1230081.9543489,205895.548348118,1031236.57910612
