species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1480,1970,520466.951556569,469484.278401034,133826.842227835,110528.622374209
1480,1971,499577.537601308,476804.128402363,129575.891816386,111807.863784383
1480,1972,477616.039695804,476467.224271317,113149.130640284,100669.16150029
1480,1973,465025.273038602,481316.1724216,114539.911075796,104870.341436204
1480,1974,435875.036347516,465012.550171971,100096.135694504,92750.7482311786
1480,1975,424705.700801529,486981.660407753,98868.6864202493,97117.0305146161
1480,1976,394857.301516905,491605.159809114,95117.2961061591,98807.7000511515
1480,1977,363185.685419974,488528.127624359,88700.2991876957,96339.7803778704
1480,1978,346186.818438246,472692.116760991,79632.1359522387,86257.443731202
1480,1979,280689.99473985,493651.670572918,72674.6294652317,91105.9597668464
1480,1980,264575.036597017,494189.566405172,67696.407465224,87159.1272723423
1480,1981,234883.814486641,503677.113697749,62191.9772883327,85094.9714857017
1480,1982,187972.317027008,494029.054089392,57197.0969114224,82740.8920222337
1480,1983,172746.794864004,508853.861537593,53675.9698152526,81235.4781930455
1480,1984,169059.860199261,510373.145168807,53567.3834982932,81705.2355697827
1480,1985,109491.246862152,508870.266970336,47625.5675691314,77866.8391310264
1480,1986,108399.536387329,506568.786515896,48021.6960510852,78309.8993797215
1480,1987,80906.5816667238,506863.645450887,44610.9060540559,74261.3704304965
1480,1988,68667.0354739407,489744.859450335,44372.433809494,72543.647090364
1480,1989,32289.344061915,506282.188540755,44684.2939126835,76913.0149099259
1480,1990,-54700.3898616054,521674.090185921,40800.2243477082,70644.3157650547
1480,1991,-109204.826042327,536636.482601564,42378.0162216565,72373.434800097
1480,1992,-188297.294499456,559169.203890716,46129.1311225897,74166.2918687406
1480,1993,-201307.806207988,546435.151334009,43877.4003026899,67239.4818380513
1480,1994,-137497.218968053,530478.389698794,41924.1264506122,68324.0980007471
1480,1995,-207791.580518438,531672.109401905,42489.0331108257,62742.6589291118
1480,1996,-221675.384975265,536886.169118557,43006.4750849296,62556.4539787695
1480,1997,-222425.908500985,522187.618908011,41311.2665182352,58175.547789052
1480,1998,-297897.068828878,542075.092379078,46295.0811152561,60303.0406004231
1480,1999,-235337.630072136,520802.759338405,44917.7291659206,62351.6256292385
1480,2000,-356814.190276624,551990.91613265,48996.9625296585,58772.6850102155
1480,2001,-382653.816980636,547632.897224832,52467.7404389342,60180.3753275001
1480,2002,-395644.450782939,522159.258951546,52956.3004063994,56719.4133535562
1480,2003,-395495.868465322,536397.363291607,49782.3502997566,54591.9772193204
1480,2004,-402784.006412993,520214.778494302,51526.2599208194,54439.7670559597
1480,2005,-505548.738394984,538343.142947903,57929.4509676849,53430.6376204262
1480,2006,-364556.653076235,480237.859156254,47746.7380731599,49376.7995662314
1480,2007,-452911.780014064,538711.322819921,54445.6719860621,54798.7828999142
1480,2008,-528031.060308996,500845.528823583,55452.3364311796,45839.5967193341
1480,2009,-581229.117512395,531014.113323255,59402.4605957533,48964.9034160045
1480,2010,-563065.64431279,509284.400388338,57910.7074670572,47196.5110716582
1480,2011,-495240.856767766,495392.947855893,57762.433804038,50133.031207482
1480,2012,-445177.451005705,488250.743399771,54487.9130747338,47835.3601446536
1480,2013,-483279.237765433,454478.364437796,54610.4334852648,44638.2119264589
1480,2014,-584295.807604332,463692.564963367,62484.9791947461,45858.7219772925
1480,2015,-496120.172852046,456769.821078298,51542.6788492388,40620.0357760418
1480,2016,-457650.695419678,452829.284174392,52063.3756410533,43108.8101356675
1480,2017,-582200.403927369,425971.383215861,69836.5862167367,47972.3341170071
1480,2018,-623763.757890194,404799.708324221,82698.2460261527,51912.972354069
1480,2019,-528885.211827111,341682.027919119,82685.3208833141,51764.9242984582
