species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
650,1970,1158756.11092589,-757624.296458608,614055.231464393,435376.514246402
650,1971,1157195.64390795,-770196.054741817,575215.28464657,418980.853224605
650,1972,1134491.92387399,-775906.490015896,566481.531377887,422164.78184162
650,1973,1147897.50146669,-741767.475229089,548777.286751596,384179.032657774
650,1974,1125096.21980289,-736379.355125566,577333.216281458,415658.876620751
650,1975,1183303.42988499,-678714.875407726,563473.076822631,323883.446981232
650,1976,1103840.43784622,-729081.13978307,578795.759392785,411878.538770618
650,1977,1147632.63548337,-714735.435492405,527877.693533614,343228.627659164
650,1978,1130887.77470332,-704897.13002089,538851.83320019,352138.765750602
650,1979,1097036.75869992,-723944.23787002,531062.087052258,363165.568292132
650,1980,1136955.30350889,-699068.067619596,566497.965532539,354781.775255992
650,1981,1115462.64577634,-708497.023290532,567437.716709019,359589.729447397
650,1982,1068950.37420114,-748336.259987308,527241.47670507,397641.303737121
650,1983,1106485.43394221,-716856.083065953,532470.153384061,347782.208943374
650,1984,1148775.72406624,-676120.722059486,598962.662585039,345728.825641103
650,1985,1119626.78720618,-691326.652815313,555837.360533662,338991.339290231
650,1986,1109803.34416985,-717285.197981254,538634.786676121,354604.566131277
650,1987,1109179.62854754,-709767.743465569,516280.50611329,330792.717363063
650,1988,1089699.81161917,-729203.504586622,515792.316925447,347091.906437891
650,1989,1082230.49431776,-701603.995067258,532087.119512288,357011.099224985
650,1990,1152470.71412169,-659694.940642572,620073.988619612,327741.426936785
650,1991,1076330.73466808,-731206.378933097,537847.854172076,374651.967270439
650,1992,1075663.79832035,-719803.79068533,557316.081864629,388120.638547076
650,1993,1174356.56155866,-654138.533236003,592836.953153631,307789.331898458
650,1994,1090064.71807052,-697522.770960465,523347.505412432,336022.058594287
650,1995,1097774.00549495,-711653.019387246,511126.620684475,323363.76507432
650,1996,1125165.48081351,-690569.929833817,554124.168377962,327076.73215223
650,1997,1123334.84742532,-683777.029905218,545189.517297816,310347.963526207
650,1998,1125306.39896856,-684837.635915574,555649.070915464,321008.768206762
650,1999,1140405.36281766,-692816.032225977,547116.268075431,318898.618690876
650,2000,1101166.589047,-694821.815136496,544570.348597237,341339.237919603
650,2001,1070851.55735225,-759069.770234724,483396.820722836,341431.875229817
650,2002,1100064.64811257,-722930.249325082,520679.566001745,334157.451467212
650,2003,1100199.16400333,-705976.865589631,522214.830709319,315508.011350332
650,2004,1054756.6096572,-717406.517546628,497343.047876873,342487.106426159
650,2005,1080329.29114032,-712070.265634908,516573.74867095,323882.874201079
650,2006,1049178.19150323,-718281.115546344,513158.869125619,333214.104355956
650,2007,1065422.33685035,-725040.429865337,513577.802958556,338520.500678954
650,2008,1077206.34853212,-713159.032945607,511097.634212926,335856.264375065
650,2009,995473.466849213,-753824.673572247,477005.061886068,374053.311169834
650,2010,1005629.59172489,-750115.035190811,442666.440337265,314760.491862495
650,2011,988609.666456198,-765308.940886295,460563.833285072,332741.983880582
650,2012,992624.1182196,-764366.696526774,470702.338776972,383639.409388448
650,2013,1025540.17740077,-761381.844527427,490412.772621818,361621.27519167
650,2014,971802.063433374,-777245.208465164,480385.891727886,396559.652120544
650,2015,966971.306019582,-790887.855351645,501467.495337152,443931.12291169
650,2016,898509.498204301,-837211.767288872,491840.52332098,545318.031387972
650,2017,941252.342029371,-803654.793709349,541551.556649556,538521.301572164
650,2018,943176.586946805,-840438.311775877,580552.397885132,636339.778401125
650,2019,913332.383997738,-816175.885294853,641014.100712465,728555.213307956
