species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
580,1970,861592.971581719,-1028123.84062964,1478230.6642803,1661618.17582653
580,1971,834640.804552798,-1024015.71302523,1448585.36648153,1653427.12224065
580,1972,932938.703044009,-1056730.4255273,1386766.16488817,1514835.0760265
580,1973,832510.097194388,-1029610.72059021,1484562.19346114,1702279.31176506
580,1974,862207.886486127,-1032617.28964548,1351436.89096162,1522600.51616631
580,1975,905231.5219004,-1044528.95516417,1443017.83308167,1593006.46807831
580,1976,844247.562955249,-1030693.52819053,1419910.83267734,1616894.38971353
580,1977,903101.529631802,-1011309.46986964,1595833.85018646,1730958.63688407
580,1978,924530.00823563,-1025487.90496193,1453849.52595724,1567866.33012892
580,1979,917671.272470579,-1023768.56265509,1442130.64840848,1560365.1281361
580,1980,885944.893099404,-1021525.75413493,1380656.29852233,1522084.16343479
580,1981,882439.956952141,-1021937.98765646,1567124.30310678,1732872.10215523
580,1982,933206.599209524,-1039060.38609655,1480704.64356772,1601083.60885936
580,1983,926788.459781404,-989274.585649259,1472621.95595052,1547740.05321998
580,1984,884460.875935662,-1037460.30864879,1449904.38630171,1614291.91349712
580,1985,914603.699797176,-1024324.86686572,1382883.51481047,1498201.92224557
580,1986,826480.135321449,-1049008.69402644,1214764.91386251,1417348.62301096
580,1987,855745.460181866,-1047341.25352796,1381470.04676702,1576330.23434135
580,1988,872768.739690915,-1059706.49697535,1330256.96333354,1514638.87766211
580,1989,876889.511343896,-1030236.26004004,1389675.40926269,1549313.55713358
580,1990,912705.821755629,-1048575.29696522,1520987.56343674,1676133.16098374
580,1991,817116.519148353,-1040826.29697173,1398663.31960646,1632026.61110972
580,1992,772142.202440189,-1034835.22868011,1334555.54259125,1599026.28782045
580,1993,830559.062095185,-1036007.56107761,1477516.80502908,1701217.77272566
580,1994,643411.141215249,-1087035.1549946,1045237.49699497,1428448.15905801
580,1995,675526.258301797,-1067855.39468925,1146053.72676109,1500266.40662042
580,1996,798561.392812345,-1036382.8649458,1469889.53654025,1728803.94317824
580,1997,741330.095130667,-1031857.03520381,1511250.04087733,1841608.80044913
580,1998,746758.21215096,-1026221.31009258,1528504.61746923,1848892.00785387
580,1999,763915.10251701,-1005882.38148372,1519165.02763321,1786304.5500025
580,2000,809950.082855156,-989901.37967197,1713696.59193696,1936594.87606902
580,2001,871218.541962049,-968281.868252148,1905076.54189826,2034280.97370436
580,2002,834739.878302152,-978465.285138538,1787664.25998643,1981748.7520243
580,2003,827881.353936787,-984139.856663336,1849507.67973725,2068033.7835817
580,2004,812496.276556142,-975300.702365644,1880725.23842956,2112268.54320427
580,2005,771461.926710867,-988779.690231894,1792423.45733982,2082608.91261436
580,2006,761483.197722131,-980195.659642984,1849734.33534754,2151832.46421822
580,2007,773512.528364019,-983132.701007586,1779306.95709226,2056155.65440844
580,2008,800595.377536826,-964294.078093263,1939244.04268893,2176488.58474888
580,2009,714439.635041359,-992260.405121092,1744169.27138577,2099704.50836486
580,2010,772663.61987696,-973438.124950922,1940919.71026947,2232558.43266905
580,2011,822360.530429932,-953436.315589619,2084948.42342615,2291225.61754994
580,2012,787069.24974979,-971174.166873352,2058402.39252979,2342651.69950306
580,2013,814354.294531536,-951275.301006016,2205004.10491738,2438751.70557631
580,2014,797038.119323381,-951867.793751666,2210397.10845814,2477762.66076653
580,2015,821580.021951845,-953590.876191997,2226020.09702959,2453132.38468501
580,2016,783016.873533904,-939162.564517186,2099733.62902401,2310913.19835401
580,2017,779742.94336737,-942566.279355179,2180330.15197066,2452993.00508798
580,2018,812330.323981247,-931575.216876371,2401816.77538369,2631198.31611372
580,2019,826598.329158176,-928974.180278354,2333098.41778216,2526764.52680986
