species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1430,1970,-344701.07886489,-671182.81702963,1145760.61982736,685766.697843997
1430,1971,-362470.553531893,-667287.937342886,1014235.8103104,629371.334552831
1430,1972,-405988.495710012,-628798.049171918,1057937.52136047,592518.063753383
1430,1973,-432711.037595479,-614607.699713576,1019063.65837775,561840.199856449
1430,1974,-403129.852603162,-623779.884058419,1145203.70731666,628405.725398021
1430,1975,-513402.844873001,-565591.708724046,1149963.3929682,533408.925117848
1430,1976,-456275.993595058,-615364.052574008,792206.396621135,516899.287686354
1430,1977,-497921.110087971,-586671.236249931,846959.369118352,480524.985573456
1430,1978,-440261.438561018,-582730.952303373,808407.903534964,452677.491053671
1430,1979,-498053.297117531,-577140.055019835,811841.799549851,446668.782941873
1430,1980,-570186.825643499,-526663.150118876,887547.053879481,402669.159063999
1430,1981,-563329.779160907,-530825.025678703,768968.758857155,391540.935508004
1430,1982,-576459.392859485,-519896.456653185,726506.272620032,375954.433413635
1430,1983,-510801.759892787,-563933.397678021,691097.896329102,417312.726718805
1430,1984,-597433.344863205,-495679.072643324,771049.840398851,357088.181737704
1430,1985,-586818.654611991,-542766.125051316,624239.973303556,425847.344178084
1430,1986,-552727.804003735,-532846.458078325,614863.912680212,380445.371912287
1430,1987,-632432.196227095,-449469.099138731,701781.994530931,310558.631570238
1430,1988,-602726.500208501,-508340.593082201,565348.544813266,341325.951932614
1430,1989,-655784.149595687,-440113.470229042,610046.490444526,284031.498949568
1430,1990,-609480.592954037,-483682.734083315,522530.995617853,324633.387735681
1430,1991,-709134.850257258,-394799.054869953,588183.185176386,248918.276949304
1430,1992,-742642.427667087,-380771.626012391,540002.386663919,235777.20254182
1430,1993,-720716.693210924,-379928.307135677,521384.910409884,232574.027065685
1430,1994,-717480.771858683,-390020.607141794,475865.112046227,237057.893029614
1430,1995,-765178.71383569,-350445.966882577,479345.395146607,213221.772707277
1430,1996,-657038.564944998,-349897.223459656,431697.186411422,225391.191342054
1430,1997,-704405.74778317,-372931.90985771,404544.590965211,229386.771743452
1430,1998,-811148.255679348,-274775.019830707,416145.992419839,176423.493983125
1430,1999,-735952.550046663,-303797.248765137,381930.667844582,193509.269144228
1430,2000,-822445.46487929,-244673.741065543,382504.559125416,169915.484100603
1430,2001,-855739.454380517,-233991.79117956,402252.903937322,169946.788914076
1430,2002,-850591.396349675,-191438.256104197,392085.784803212,161213.061844043
1430,2003,-844601.767468691,-173533.674238149,376004.631342974,160225.181255602
1430,2004,-816392.384413938,-148711.671941033,377524.628079582,164405.992629646
1430,2005,-857525.040977802,-167904.435241954,364115.689232014,169371.122421186
1430,2006,-900997.99489342,-167726.334592837,364765.045246674,154850.233487114
1430,2007,-769226.822866519,-169047.390103379,357751.686482063,175863.604678921
1430,2008,-739098.502846466,-145648.755065991,381719.94577581,203166.083604999
1430,2009,-833433.51233911,-120288.815013984,367685.281728365,181064.274463624
1430,2010,-948735.275250867,-43447.3170215547,403611.560087825,167508.284995537
1430,2011,-929746.058718333,-77676.5576001729,437571.320083084,163904.729055905
1430,2012,-779154.783806083,-129168.146064129,426273.937528044,191918.169638543
1430,2013,-889788.164520811,-53174.0732338743,415136.944584247,174809.374757587
1430,2014,-800098.505716152,-81902.0873862779,471105.161755334,199196.37997374
1430,2015,-952684.036978126,-1685.78170715588,596886.796598272,192625.993167928
1430,2016,-924415.185409487,16804.9514084466,719923.550354955,205834.089602647
1430,2017,-1017332.01336067,65017.8476840502,908694.943755318,220864.326151023
1430,2018,-1029072.78219128,93621.3331855749,1036837.91044955,249632.767555752
1430,2019,-929685.145595024,76556.2137359313,1186948.92257599,286851.833536858
