species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
1290,1970,-1322717.10873473,601916.807271386,582071.040851663,242613.254599606
1290,1971,-1293466.99006567,606677.965963783,526129.347170452,220760.238875915
1290,1972,-1213207.50525316,621473.783147481,436615.210903948,201786.831125592
1290,1973,-1229582.24506818,616124.429349616,419535.043865961,192302.780093955
1290,1974,-1165752.94310721,630817.185045187,370588.957927442,179719.068428967
1290,1975,-1163636.03433178,625097.572105704,345799.767975932,163455.893417505
1290,1976,-1081454.08730532,638375.071577271,315895.691662798,160601.200448229
1290,1977,-1088600.3268239,636611.914908933,316986.654365448,161393.530023009
1290,1978,-1015031.8857938,650599.783935898,298891.885148621,160981.3736057
1290,1979,-991498.822837261,654801.154315765,285013.47316506,155052.386762958
1290,1980,-976086.685218641,656848.244245325,264232.011615371,146267.354422006
1290,1981,-979071.464062901,653936.812772333,263777.219764078,143406.254133994
1290,1982,-943694.830839786,654540.915948351,243857.070178324,135197.335969578
1290,1983,-937526.82265357,660768.236069806,244944.298530637,136396.019651722
1290,1984,-905753.154154117,670668.214281986,244030.540202212,141395.20991579
1290,1985,-907868.323972787,662086.832070751,239926.339056824,136207.710043612
1290,1986,-893275.244085317,660287.528367697,223321.106081492,124076.836193444
1290,1987,-870311.725371524,670555.602065144,229091.831353517,133257.812649122
1290,1988,-824876.724618935,669968.270543914,219457.83228264,129983.612875669
1290,1989,-794626.571749856,669166.237872045,204130.167140788,120624.297075398
1290,1990,-844905.318397205,665948.318451865,216579.100135945,126195.875876089
1290,1991,-812444.047233399,677341.213004844,221879.999183954,134243.894552976
1290,1992,-775991.353571588,675029.129960185,202011.333464141,121422.933177544
1290,1993,-791609.105389704,675000.156682692,200784.902461111,120149.713282813
1290,1994,-746327.906026068,671439.171238921,202528.739290252,123545.977818921
1290,1995,-710643.580624267,665623.218812622,190804.685864831,117754.882373866
1290,1996,-718039.26569788,678027.466337392,180361.497439688,111631.305067351
1290,1997,-703924.77312905,669021.00661063,184201.81270403,111104.871208933
1290,1998,-692961.564597009,657593.672027205,176538.787232097,104297.248027417
1290,1999,-665926.319173564,661695.083472812,177101.7265256,107246.40760581
1290,2000,-682517.230211456,670545.952989145,179630.045385711,109085.764590456
1290,2001,-650018.326764193,658107.150289675,173941.304147948,103872.305741691
1290,2002,-628552.978615162,656909.599273821,168311.021562457,100884.552993488
1290,2003,-636834.807562514,644445.754185974,166413.149866725,92969.1299222736
1290,2004,-590631.63916103,652033.43865359,153190.25995427,89313.494956492
1290,2005,-619268.657457477,649796.271463013,163698.391825619,92034.0497848202
1290,2006,-552392.429128516,646291.948273826,155230.959716523,89026.4857442059
1290,2007,-577766.289511867,645605.37963643,160904.12322127,87567.898446201
1290,2008,-508068.720920538,645497.051694767,151186.334826434,86734.156618225
1290,2009,-529029.937131362,639582.840550087,162052.843484723,87200.3715554452
1290,2010,-467248.951670615,653642.429737306,156306.678637637,88280.7276295315
1290,2011,-443003.83026759,639499.063276859,150617.62961109,86188.860369073
1290,2012,-426877.898525639,642934.026304796,153997.271426701,88167.6584049317
1290,2013,-375410.186123692,646183.364729178,160047.246160675,96167.0331070998
1290,2014,-411854.413766019,643523.619195728,168824.602490706,97223.2595461622
1290,2015,-365493.237660288,637738.853194481,175530.266844435,101036.581108088
1290,2016,-383823.991947134,646942.813403467,187430.298880889,115450.387419628
1290,2017,-383501.168893077,648092.042217261,205490.269681195,124458.252146906
1290,2018,-331994.248377258,646761.523073649,225302.913942958,138240.103831066
1290,2019,-261185.678899228,651526.552116028,255268.081750508,163262.009786471
