species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
700,1970,1746173.05617744,550816.515767491,1463177.17656029,588189.225821446
700,1971,1737918.80005012,539141.894025168,1297935.44883075,497809.115207609
700,1972,1739986.5412038,569178.121086543,1259469.80513795,528256.407987732
700,1973,1742806.9808295,590898.877899673,1267667.90613518,540268.585644276
700,1974,1745209.57617829,601091.615707567,1225738.39010029,527192.410271397
700,1975,1738747.71395302,601107.310702766,1126995.60472274,488864.933300791
700,1976,1735973.03438752,617346.944390397,1128372.41659874,494418.610854632
700,1977,1744820.26624845,622882.800314351,1106969.90957736,483001.867687209
700,1978,1739671.35478661,609627.30766329,1070211.4704593,451663.914275348
700,1979,1738139.95637132,635185.68267474,1096962.13525955,486634.985824231
700,1980,1736090.77923402,645750.270965786,1128013.34375351,510752.277475209
700,1981,1742444.41420688,632786.825399422,1090996.57803784,471235.073669119
700,1982,1744446.79553095,648228.613593499,1158440.78536932,516690.606516375
700,1983,1735185.05043539,619025.971700799,1188077.79096317,498162.427975985
700,1984,1740390.39305341,653134.654399198,1121374.42957612,499116.387741639
700,1985,1737541.36261241,654470.436365986,1144253.65120084,512143.582400463
700,1986,1738202.4044677,636345.080378201,1160048.87485107,493981.844259324
700,1987,1746550.91911602,662228.148809927,1188556.9987173,529420.785513585
700,1988,1755926.66491963,688778.066717791,1361988.49341315,646906.381621888
700,1989,1738553.74297475,660624.692400444,1157679.48468726,519744.349664451
700,1990,1731828.72203719,662391.121695584,1197887.06767206,543020.853367421
700,1991,1736847.58632976,651359.92683635,1161296.21160676,522563.993657873
700,1992,1742218.26509519,656578.372798601,1180626.84827619,526024.034026198
700,1993,1738946.23544282,668188.450174292,1178483.67740117,539102.805274947
700,1994,1745337.71463313,655271.661791126,1138051.62599328,502106.924265838
700,1995,1741657.24362905,695262.39812183,1142296.06871759,530600.323780684
700,1996,1745657.97328471,680525.695989317,1129460.06755642,518388.344243214
700,1997,1740798.37248351,682691.563429195,1117756.75632008,505012.826335622
700,1998,1720424.22750382,662785.972696019,1081885.73292274,486444.480425109
700,1999,1732864.04157765,673887.353439988,1071365.54987625,479081.118099818
700,2000,1732681.09295532,646017.820653397,1022442.20192519,426226.814181735
700,2001,1705321.81889853,661947.752598486,1055807.38582726,470793.57292064
700,2002,1721719.05869568,670987.058196179,1080146.37259553,487121.521786027
700,2003,1722704.25159151,658213.898419992,1074337.17866145,467304.788668757
700,2004,1693480.01756425,674520.913169598,999375.182442104,445193.057516357
700,2005,1714630.99687279,653059.958205969,1006996.0397271,410790.246151326
700,2006,1722685.46003467,638592.398633401,1087501.2152981,423169.452659661
700,2007,1709872.637503,654694.857393277,1087883.63790804,462932.754403102
700,2008,1695584.55735022,624273.782507727,1013318.3157304,409690.35665371
700,2009,1705937.59799023,652763.703725181,1073529.61695458,443130.219373883
700,2010,1701969.70797881,638784.418781034,1098065.80868198,453177.308150883
700,2011,1680541.91380425,630775.850277848,1177036.16461371,473012.559801515
700,2012,1704370.91943318,607995.286603648,1159932.8722725,440018.99419657
700,2013,1691350.11861573,608578.684168479,1235801.10941635,480138.311666175
700,2014,1704462.47669905,613339.058147783,1365250.78508693,518455.281130429
700,2015,1705574.924961,620658.195722675,1428143.19164607,561784.108775492
700,2016,1698778.92751361,561424.787299911,1594890.42488849,533262.750172836
700,2017,1715938.48468764,535853.96845421,1766188.75956095,551167.381788577
700,2018,1692352.50016012,560627.390136272,2030171.48719595,675187.349302589
700,2019,1716032.40750019,518763.961634846,2710966.79856342,759768.533149031
