species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
70,1970,827801.084352123,815669.751722473,96266.1255365217,85147.1032973262
70,1971,824737.455431667,819245.476276505,89429.0311395349,80285.2556318421
70,1972,838693.912790991,821768.105329926,86218.5469947419,76854.3442386167
70,1973,850541.202466229,823202.969915759,81261.8851559489,71363.2974863112
70,1974,833745.634201704,822877.468970066,77777.0323676397,70433.0560022884
70,1975,854440.256161935,824095.570618481,75281.8599948255,66993.0170413571
70,1976,859848.977659114,825337.464417632,74705.1439272142,66437.5819008673
70,1977,853012.633314652,825900.50702901,70930.1237525573,64035.037053379
70,1978,865055.499887742,827906.380431173,71284.2130063792,63336.9874733153
70,1979,854027.882096587,827043.129129777,68930.2106338987,62792.2945652133
70,1980,869025.717274635,827236.815759146,68644.9735178741,61436.6691211447
70,1981,871216.885087136,827885.561070256,67859.5757312093,60845.9774192733
70,1982,875534.383447067,830156.915093547,67677.7724839392,59356.6815300583
70,1983,890624.991863813,829991.015762972,69207.7302973089,59890.2603392136
70,1984,879756.622085326,828692.117679095,67937.9822735451,59809.9068726521
70,1985,883086.41024853,830192.078678219,67750.6731999442,59235.9193648209
70,1986,892286.757155289,828968.13125443,67926.2914407629,58937.469650247
70,1987,887476.082770853,830984.298517138,66649.0863160962,58232.291340099
70,1988,891051.603567934,829420.332819131,66604.8640015311,57445.7807819824
70,1989,893722.817749277,828166.729488323,67502.4518998979,58261.7081983531
70,1990,884792.081179428,829390.49489541,67012.0351895734,58441.206505159
70,1991,906954.440775198,831439.093246294,66856.912434143,56813.3955386587
70,1992,888725.802230516,828406.639498821,65528.2665664901,56694.9494927992
70,1993,913783.951638408,832543.685518295,69180.0742939784,57190.7890718749
70,1994,884980.648087806,827898.141087987,65499.4696364565,56323.4044411105
70,1995,900257.674851754,826311.91915965,64346.9096300258,54326.0119976358
70,1996,888925.349167169,822231.680900141,62971.3266386072,54308.079979284
70,1997,892715.206129621,826003.043446672,63557.9772660553,54336.6697397349
70,1998,871684.048847139,822057.681099507,62667.5383689816,54740.4886130253
70,1999,896154.782689265,828074.715534014,64564.9811353768,54868.7499351592
70,2000,897520.532969539,825505.50245823,64073.6597441945,54726.6318762865
70,2001,880768.183755181,825512.473187838,63595.8199992459,55206.5617460412
70,2002,891321.462815322,824332.309878977,65098.7799966155,55034.4378434739
70,2003,875104.519349709,821872.87680568,63040.3046165379,54212.8879979933
70,2004,889112.753280206,823361.096424236,62340.2080419104,52891.3793706954
70,2005,867283.458858215,818341.475504758,62351.444825774,53947.4032005868
70,2006,874462.399332809,820682.761951993,60527.8317895632,52163.1409633867
70,2007,867089.212874521,820107.006954248,61506.2678204866,53289.6109837645
70,2008,876951.597785057,823490.71864845,62488.0302194985,53492.000809615
70,2009,866965.943119571,817408.635354224,62492.3255498986,53711.7722739924
70,2010,874992.274621421,816211.495898573,62996.8631477948,53252.1162572047
70,2011,895144.902265106,818511.792510033,64814.4855410275,53059.6376734052
70,2012,877140.721970319,817178.299931451,66634.1878818934,55939.9461481582
70,2013,873843.044047156,817112.561877055,66709.1350125851,55777.039071925
70,2014,874626.13527714,813846.753400117,69157.1440539689,57358.2393323732
70,2015,867569.292522725,811753.894469727,70931.3320174931,59019.1410446101
70,2016,886938.168604106,814469.472394225,76048.0121782616,61636.4286312073
70,2017,850033.276239583,809245.467425093,78661.9381201324,66246.1453515859
70,2018,857533.796701559,810337.817458784,82240.6347847796,69315.9514808391
70,2019,875260.197406156,813659.7669037,91767.031800166,74761.952828796
