Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Somateria,mollissima,Anatidae,Common Eider,1590,,NA,NA,Partial,Yes,,,Common,Large,Tight,,,Flock size varies greatly,day,,,NA,10000,NA,30,1494,short,,Kear 2005; Petersen et al. 2000; Bellrose 1976
Gallinula ,galeata,Rallidae,Common Gallinule,2190,,NA,NA,Partial,Yes,,,,,,,,,night,,,NA,7000,7000,600,136.5,long,night,Harrington 2001; Harrington & Leddy 1983; Sitters et al. 2001; Myers & Myers 1979; Alerstam et al. 1990; Gerasimov & Gerasimov 2000
Bucephala,clangula,Anatidae,Common Goldeneye,1510,,NA,NA,Complete,No,,,Common,Small,Loose,,,,,,,NA,50,50,2000,465,short,night,Gauthier 1993; Kear 2005; Bellrose 1976; Brackbill 1952
Quiscalus ,quiscula,Icteridae,Common Grackle,5110,,NA,NA,Partial,Yes,,,Common,Medium,,,,,day,,Yes,NA,8,8,NA,19,long,night,Grzybowski 1983; Wheelwright & Rising 2008; Byers et al. 1995; Pulliam & Mills 1977; Watts 1996
Gavia,immer,Gaviidae,Common Loon,70,,NA,NA,Complete,No,,Adults first,Sometimes,Small,,No,,,day,Yes,,NA,50,50,NA,26.3,short,,With 2010; Cooke 1914
Mergus,merganser,Anatidae,Common Merganser,1290,,NA,NA,Complete,No,Pottentially limited residency,,Common,Small,Loose,,,,night,No,,NA,10000,10000,NA,1059,long,night,Beauchamp 1992; Savard et al. 1998; Bellrose 1976;  Iverson et al. 2004
Uria ,aalge,Alcidae,Common Murre,300,,NA,NA,Partial,Yes,,Concurrent,,,,Yes,,Offspring pair with parent at first,,No,,NA,13000,7906,NA,958,short,,Hoffman et al. 1981; Sealy 1973; Chilton & Sealy 1987; Croll 1990; Gaston & Jones 1998; Ainley et al. 2002; Camphuysen & Webb 1999; Clowater 1998
Chordeiles,minor,Caprimulgidae,Common Nighthawk,4200,,NA,NA,Complete,No,,,Common,Medium,,,,Flocks may be large,night,No,No,NA,50,50,NA,45.6,long,night,Ridgely & Tudor 89; Hilty 1980; Wyatt & Francis 2002; Gauthreaux 1972; Moore et al. 1990; Rodewald & Brittingham 2002; Bakermans 2008
Acanthis,flammea,Fringillidae,Common Redpoll,5280,Concurrent,250,310,Partial,Yes,Irruptive,Concurrent,Common,Small,Loose,,,Flocks can be large,day,Yes,Yes,NA,27,NA,NA,25,short,night,Arcese et al. 2002; Helms 1959; Rogers & Heath-Coss 2003; Lima et al. 1987 (protective); Barbour 1941
Sterna ,hirundo,Laridae,Common Tern,700,,NA,NA,Complete,No,,,Common,Medium,,,,Flocks may be small or large,night,,,NA,10000,10000,120,47.5,short,day,Jaramillo & Burke 99;  Brugger et al. 1992; Lowther 1993; Baird & Nisbet 1959; Cooke 1914
Geothlypis,trichas,Parulidae,Common Yellowthroat,6810,Concurrent,250,350,Partial,Yes,,Concurrent,,,,,,,night,,Yes,NA,5,5,100,343,long,,Gochfeld & Burger 1994
Oporornis ,agilis,Parulidae,Connecticut Warbler,6780,Concurrent,230,300,Complete,No,,,,,,,,,night,Yes,Yes,NA,25,7,NA,11,long,night,Williams 1996; Curson et al. 1994; Morton 1980; Jones et al. 2000; Greenberg 1981; Gauthreaux 1972; Hall 1981; Stewart 1983; Rodewald & Brittingham 2002; Bakermans 2008
Accipiter ,cooperii,Accipitridae,Cooper's Hawk,3330,Juveniles first,230,310,Partial,Yes,,Juveniles first but considerable overlap,Uncommon,Small,,,,,day,No,,NA,1,1,5,349,short,day,Curtis et al. 2006; Ferguson-Lees et al. 2001; Mueller et al. 2000; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Empidonax ,occidentalis,Tyrannidae,Cordilleran Flycatcher,4640,,NA,NA,Partial,Yes,,Adults first,,,,,,,,,,NA,NA,1,NA,13.2,long,night,Lowther 1999
Junco,hyemalis,Passerellidae,Dark-eyed Junco,,,NA,NA,Partial,Yes,"sub-species sepearated in banding. Gray-headed, oregon, white-winged, slate-colored",Adults first,No,,,,,,night,Yes,Yes,NA,11,1,NA,8.9,long,night,Latta & Wunderle 1996; Morton 1980; Gill et al. 2001; Stewart 1983; Hamel & Kirkconnell 2005
Spiza,americana,Cardinalidae,Dickcissel,6040,,NA,NA,Complete,No,Very limited residency reported,,Common,Large,,,,,night,Yes,Yes,NA,300,300,30,352,short,day,Keppie & Braun 2000
Nannopterum,auritum,Phalacrocoracidae,Double-crested Cormorant,1200,,NA,NA,Partial,Yes,,,Common,Small,,,,Flocks may be medium and large,day,,,NA,1000,1000,NA,692,short,night,Johnsgard 81; Mueller 99; Brisbin & Mowbray 2002; Brackbill 1952; Combs & Botzler 1991
Calidris,alpina,Scolopacidae,Dunlin,2430,,NA,NA,Complete,No,,,Common,Small,,,,Flocks may be medium,night,Yes,,NA,NA,20,100,640.1,short,,Dugger & Dugger 2002; Allen 1980; Lamb 1927; Stenzel et al. 1976; Leeman et al. 2001
Empidonax ,oberholseri,Tyrannidae,Dusky Flycatcher,4690,,NA,NA,Complete,No,,,,,,,,,night,,,NA,NA,1,NA,11.5,long,night,Gross & Lowther 2001; Rodewald & Brittingham 2002; Tramer & Kemp 1982
Podiceps,nigricollis,Podicipedidae,Eared Grebe,40,,NA,NA,Partial,Yes,,,Common,Small,,,,,night,,,NA,50,50,140,108.1,long,,Fleischer 1983; Nettleship 2000; Myers & Myers 1979; Alerstam et al. 1990; Byrd et al. 1974; Stinson et al. 1997
Sialia ,sialis,Turdidae,Eastern Bluebird,7660,Adults first,300,350,Partial,Yes,,,Common,Small,,,,Juvenile only flocks. Flocks may be medium,day,,Yes,NA,50,50,100,29.5,short,day,Howell 1972; Gowaty & Plissner 1998
Tyrannus,tyrannus,Tyrannidae,Eastern Kingbird,4440,,NA,NA,Complete,No,,,Common,Small,,,,Flocks may be medium or large,day,,Yes,NA,NA,1,NA,38.5,short,day,Gamble & Bergin 1996
Sturnella,magna,Icteridae,Eastern Meadowlark,5010,,NA,NA,Partial,Yes,,,Common,Small,,,,Flocks may medium,night,,No,NA,500,500,NA,5974,long,day,Hoffman et al. 1981; Evers et al. 2010; McIntyre 1978; Clowater 1998
Sayornis ,phoebe,Tyrannidae,Eastern Phoebe,4560,Adults first,250,340,Partial,Yes,,,No,,,,,,day,,,NA,26,1,1,19.7,short,day,Weeks 1994; Dunning 2008; Farley et al. 2008
Pipilo,erythrophthalmus,Passerellidae,Eastern Towhee,5870,Adults first,270,350,Partial,Yes,,,Common,Small,Loose,,,,night,,No,NA,10,10,3,3682,short,day,Johnsgard 1993; Hatch et al. 2000;  van Eerden & Voslamber 1995; Lindell et al. 1995; Suter 1997;
Antrostomus,vociferus,Caprimulgidae,Eastern Whip-poor-will,4171,,NA,NA,Complete,Yes,,,Common,Small,Loose,,,,night,No,No,NA,50,50,1,13.8,long,night,Rappole & Warner 1980; Payne 2006; Leck 1975; Tramer & Kemp 1982; Gauthreaux 1972; Moore et al. 1990; Loetscher 1955
Contopus,virens,Tyrannidae,Eastern Wood-Pewee,4610,Adults first,230,320,Complete,No,,,,,,,,,night,,No,NA,1,1,1,14.1,long,,McCarthy 1996; Hespenheide 1980; Rodewald & Brittingham 2002
Thalasseus,elegans,Laridae,Elegant Tern,660,,NA,NA,Complete,No,,Concurrent,Common,Small,,Common,,Flocks may be medium,,,,NA,500,500,15,115.3,short,day,Davis & Lanyon 2008; Cooke 1914; Arnold 1937
Anser,canagicus,Anatidae,Emperor Goose,1760,,NA,NA,Complete,No,,,Common,,,,,,,Yes,,NA,880,880,30,1371,short,night,Longcore et al. 2000; Kear 2005; Morton et al. 1989
Numenius,borealis,Scolopacidae,Eskimo Curlew,,,NA,NA,Complete,No,declared extinct by some,,Common,,,,,,night,,,NA,200,200,NA,259.6,long,,Burness et al. 1999
Buteo,regalis,Accipitridae,Ferruginous Hawk,3480,,NA,NA,Partial,Yes,,Adults first,,,,,,,day,No,,NA,12,12,1,1163,short,day,Bechard & Schmutz 1995; Kerlinger 1989
Spizella,pusilla,Passerellidae,Field Sparrow,5630,Adults first,280,360,Partial,Yes,,,Common,Small,,,,,night,,Uncommon,NA,1,1,NA,58.3,short,,Walters et al. 2002
Psiloscops,flammeolus,Strigidae,Flammulated Owl,3740,,NA,NA,Partial,Yes,,,No,,,,,,night,,,NA,30,10,NA,38,short,,Eddleman 2002; Austin & Smith 1972; Dobbs & Martin 1998; Cruden & Herman-Parker 1977
Sterna,forsteri,Laridae,Forster's Tern,690,,NA,NA,Partial,Yes,,Concurrent,Common,Small,,Common,,,,,,NA,30,3,NA,36.1,long,night,Rising & Williams 1999; Jaramillo & Burke 1999; Dobbs & Martin 1998; Cruden & Herman-Parker 1977
