"AOUS"
4340
2250
1900
1330
2210
3600
7610
1250
1370
2280
4540
5450
3520
5070
3120
6160
6130
3900
7080
7190
800
4220
770
3260
1770
3880
4290
5650
2020
5960
2260
6540
5730
6610
5970
6290
1400
4940
5620
3430
7260
1260
7050
1530
5080
530
4360
1720
6860
1470
6500
640
4480
2001
6190
5380
6590
4230
5600
4160
1410
6120
2190
1510
5110
70
1290
4200
700
6810
3330
6040
1200
40
7660
4440
5010
4560
5870
4171
4610
3480
5630
690
5850
590
1780
1350
440
1860
3490
5460
6340
470
4520
1960
2540
2010
5900
1390
6090
6690
510
1310
6840
6770
2730
2080
6050
5520
580
4670
740
5480
4210
1490
2550
4080
2000
6220
2640
6760
6430
6800
6570
2490
3570
3290
2810
3160
6790
6450
3310
6480
1430
6170
1420
6750
4590
6460
5060
3640
6720
1230
3560
6200
60
5330
6710
6292
3550
6730
6370
6110
1300
4030
4060
4021
20
3390
4980
1460
540
1500
5950
650
7490
4280
1670
4330
5090
2060
4570
6080
4430
5040
3320
3670
2560
2140
2630
7000
3420
6380
6470
5390
7540
6680
6140
3250
2610
4240
5400
6150
2120
6440
7670
4470
5011
6070
4620
5540
4250
3190
2580
4040
6850
1440
7550
6390
4630
4020
3870
6830
4970
6280
6630
