Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Megaceryle,alcyon,Alcedinidae,Belted Kingfisher,3900,Concurrent,,Concurrent,220,330,Partial,,No,1,,Solo,,,,,night,night,night,No,No,No,1,1,143.6,short,-655.524416,2791.934824,-316.9398917,1058.474116,359.1092033,327.4973751,470.9754439,214.6973704
Toxostoma,bendirei,Mimidae,Bendire's Thrasher,7080,,,,,,Partial,,,100,,Small,,,,,,night,night,,,,,30000,222,long,261.9368478,-39.53873896,-2885.140369,-285.7810264,11340.08944,4506.47178,5642.473025,2146.832683
Thryomanes,bewickii,Troglodytidae,Bewick's Wren,7190,,,,,,Partial,,,1,,Solo,,,,,,,,,No,No,13,2,9.9,short,-2710.407542,2567.816742,773.2066127,-902.1801579,1649.970572,899.1722713,6047.28687,4550.14285
Catharus,bicknelli,Turdidae,Bicknell's Thrush,7571,Concurrent,,Concurrent,250,350,Complete,,,,,,,,,,night,night,night,Yes,Yes,Yes,1,1,43.3,long,,,,,,,,
Haematopus,bachmani,Haematopodidae,Black Oystercatcher,2870,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,,,,,night,night,,,,350,,12.3,short,-266.9616586,-3250.184003,0,1.90E-13,16291.3374,4648.760534,27462.76816,5081.48268
Leucosticte,atrata,Fringillidae,Black Rosy-Finch,5250,,,,,,Partial,,Yes,,,,,,Yes,,day,night,day,,,,27,27,41.7,short,1617.696304,-20098.10356,,,540747.8079,143411.3791,,
Melanitta,americana,Anatidae,Black Scoter,1630,,Concurrent,Concurrent,,,Complete,,Yes,600,,Medium,,,,Adult males migrate before adult females and young.,,night,night,Yes,,Yes,500,500,1500,long,,,,,,,,
Rynchops,niger,Laridae,Black Skimmer,800,,Concurrent,Concurrent,,,Partial,,Yes,,Medium,Medium,,,,,,night,night,,,,128,128,20.7,long,-5908.240396,15.01735187,-642.8328187,470.3061053,11947.59694,12577.80946,10708.15547,6056.069041
Cypseloides,niger,Apodidae,Black Swift,4220,,,,,,Complete,Limited residency reported,Yes,38,Medium,Medium,,,,,day,day,day,,,,650,150,935,short,,,-261.3245791,-687.0201141,,,24625.90902,16363.4458
Chlidonias,niger,Laridae,Black Tern,770,,Adults first,Adults first,,,Complete,,Sometimes,4000,Small,Small,,,,,night,day,night,,,,1000,1000,4800,long,,,821.3401375,2639.030197,,,2174.345201,3397.619254
Arenaria,melanocephala,Scolopacidae,Black Turnstone,2840,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,Flocks may be medium,day,,day,,,,800,800,326,long,0.679027265,9.44461976,,,21581.5434,5510.098104,,
Coragyps,atratus,Accipitridae,Black Vulture,3260,,,,,,Partial,,,10,,Small,,,Sometimes,,day,day,day,No,,No,15,15,1989,short,-3053.916681,2747.399624,-2986.551558,2781.297244,1488.630736,1965.943643,1163.229558,1357.963731
Mniotilta,varia,Parulidae,Black-and-white Warbler,6360,Adults first,,Adults first,250,330,Complete,,,,,,,,,,night,,night,,Yes,Yes,17,2,9,long,-207.0071257,2668.282942,-4660.306582,845.8523855,2430.798469,2100.120697,840.9202354,326.2590907
Pluvialis,squatarola,Charadriidae,Black-bellied Plover,2700,,Concurrent,Concurrent,,,Complete,,Yes,,Small,Small,,,,,night,,night,Yes,,Yes,3,3,12.8,short,-4239.720775,-366.4112052,,,14264.50178,6823.2809,,
Dendrocygna,autumnalis,Anatidae,Black-bellied Whistling Duck,1770,,Concurrent,Concurrent,,,Partial,,Yes,,Large,Large,Tight,Yes,,,night,,night,Yes,,Yes,10000,2100,1426,long,25452.66961,-7248.968061,6944.16944,1619.107714,444101.6171,288468.3736,1427.962971,12707.88673
Coccyzus,erythropthalmus,Cuculidae,Black-billed Cuckoo,3880,Concurrent,,Concurrent,220,290,Complete,,No,500,,Solo,,,,,night,night,night,No,Yes,No,5000,5000,27.4,long,,,2374.349279,1429.209125,,,1381.907434,1238.130449
Vireo,atricapilla,Vireonidae,Black-capped Vireo,6300,,Juveniles first,Juveniles first,,,Complete,,No,,,Solo,,,,,night,,night,,No,No,40,,16.4,short,,,35.35929697,-4.644289498,,,2177.21048,7616.497937
Archilochus,alexandri,Trochilidae,Black-chinned Hummingbird,4290,Adults first,Concurrent,Concurrent,220,300,Partial,,No,1,,Solo,,,,,day,,day,,No,No,1,1,3.25,long,4495.445344,388.1844018,588.0445686,891.4019852,3383.433313,9342.645696,1242.073873,1094.687078
Spizella,atrogularis,Passerellidae,Black-chinned Sparrow,5650,,,,,,Partial,,Yes,,Small,Small,,,,,,night,night,,,,26,1,71.6,short,-267.2586823,270.7941866,1875.118148,-1043.210796,9532.489029,6693.267984,5574.239959,2151.69797
Nycticorax,nycticorax,Ardeidae,Black-crowned Night-Heron,2020,,,,,,Partial,,Sometimes,50000,Small,Small,,,,,night,day,night,Yes,,Yes,800,800,35.1,long,,,-804.5373677,-11265.34522,,,2755.781537,1693.484963
Pheucticus,melanocephalus,Cardinalidae,Black-headed Grosbeak,5960,Adults first,,Adults first,230,350,Partial,,Yes,30,,Small,,,Sometimes,,,night,night,,,,18,18,92.1,long,-20560.21509,12271.01508,-18.09169116,5945.543464,6118.675141,7914.120058,1704.020494,601.5552022
Rissa,tridactyla,Laridae,Black-legged Kittiwake,400,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,,,,,night,night,,,,12,12,35.2,long,,,1.45E-13,0,,,58467.903,34238.7335
Himantopus,mexicanus,Recurvirostridae,Black-necked Stilt,2260,,,,,,Partial,,Yes,5000,,Large,,Sometimes,,,,night,night,,,,289,289,24.1,long,-11330.8263,4219.319098,6713.155665,-1334.774392,5897.952642,12960.29969,3147.392349,5321.868899
Setophaga,caerulescens,Parulidae,Black-throated Blue Warbler,6540,Adults first,,Adults first,240,320,Complete,,Yes,,Small,Small,Loose,,,Mixed Species flocks,night,,night,,Yes,Yes,,1,12.8,long,,,79.61914926,1994.661607,,,1781.177543,650.8952372
Setophaga,nigrescens,Parulidae,Black-throated Gray Warbler,6650,Adults first,,Adults first,230,350,Complete,,Yes,,,,,,,Mixed Species flocks,night,,night,,,,50,3,10.4,long,-6594.343139,5189.507024,-1406.073251,2529.629382,8057.504605,5563.893823,9150.291941,3288.505729
Setophaga,virens,Parulidae,Black-throated Green Warbler,6670,,,,,,Complete,,Yes,,,,,,,Mixed Species flocks,night,night,night,,Yes,Yes,,1,12.3,long,1684.533955,-329.806776,701.3097499,741.3376112,4445.408291,9685.407908,886.0871756,420.2570936
Amphispiza,bilineata,Passerellidae,Black-throated Sparrow,5730,,Concurrent,Concurrent,,,Partial,,Yes,7,,Small,,,,,,night,night,,,,28,13,15.5,long,-24.00405158,658.6492329,-2518.919466,3493.35692,5240.672605,4370.797229,3178.447251,1154.430292
Vireo,altiloquus,Vireonidae,Black-whiskered Vireo,6230,,,,,,Partial,,Yes,,,,,,Sometimes,,night,night,night,,No,No,,,8.5,short,,,-6.37E-13,-4.36E-13,,,6574.861344,5975.594779
Setophaga,fusca,Parulidae,Blackburnian Warbler,6620,Adults first,Concurrent,Concurrent,210,350,Complete,,Yes,,,,,,,Mixed Species flocks,night,night,night,,Yes,Yes,40,9,8.35,long,,,1038.54702,990.4838332,,,1156.190499,688.8769503
Setophaga,striata,Parulidae,Blackpoll Warbler,6610,Concurrent,,Concurrent,230,310,Complete,,Yes,,Small,Small,,,,,night,,night,Yes,Yes,Yes,30,3,10.8,long,,,8257.495865,1890.223867,,,6639.10204,4297.817578
Passerina,caerulea,Cardinalidae,Blue Grosbeak,5970,Adults first,,Adults first,250,340,Partial,,Yes,1,Small,Small,,,,,night,night,night,,Yes,Yes,,250000,28.1,long,-3822.500928,1126.076875,-668.6717216,942.9681314,21702.62386,17417.0903,398.8640087,224.6745154
Polioptila,caerulea,Polioptilidae,Blue-gray Gnatcatcher,7510,Concurrent,,Concurrent,220,330,Partial,,,,,,,,,,day,night,day,,No,No,9,,140,long,,,-245.2418218,816.334472,,,479.1883093,251.2766243
Vireo,solitarius,Vireonidae,Blue-headed Vireo,6290,Concurrent,,Concurrent,250,350,Complete,,No,,,Solo,,,,,night,night,night,,No,No,,2,12.1,short,,,-717.5598678,552.2312382,,,1427.669438,542.5065966
Spatula,discors,Anatidae,Blue-winged Teal,1400,Concurrent,Concurrent,Concurrent,220,300,Complete,Pottentially limited residency,Yes,15,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,day,night,Yes,,Yes,510,510,31.2,short,-2870.897657,-1552.00477,-1133.749135,1692.234542,129439.1666,741275.1377,924.7511374,1845.211326
Vermivora,cyanoptera,Parulidae,Blue-winged Warbler,6410,Adults first,,Adults first,240,350,Complete,,,,,,,,,,night,night,night,,Yes,Yes,30,11,8.9,long,,,-6324.166999,-2661.757034,,,2079.344266,394.2037031
Dolichonyx,oryzivorus,Icteridae,Bobolink,4940,Concurrent,,Concurrent,230,290,Complete,,Yes,60,Large,Large,,,,,night,night,night,Yes,Yes,Yes,50,50,14.3,short,,,-9869.447981,325.6243079,,,770.1681504,501.4312196
Bombycilla,garrulus,Bombycillidae,Bohemian Waxwing,6180,,,,,,Partial,,Yes,40,Medium,Medium,,,,Small and large flocks also noted,day,,day,Yes,Yes,Yes,1,1,22.1,short,,,-1.08E-12,-1.48E-12,,,71089.02449,79508.27429
Chroicocephalus,philadelphia,Laridae,Bonaparte's Gull,600,,,,,,Complete,,Yes,25,Large,Large,,No,,Juveniles take different route,day,,day,No,,No,12,12,554.9,short,,,-6582.286924,1640.913171,,,11291.46473,16935.11931
Branta,bernicla,Anatidae,Brant,1730,,Concurrent,Concurrent,,,Complete,,Yes,50,Small,Small,Tight,,,,night,,night,Yes,,Yes,15000,4915,1252,long,-20979.98978,8640.214693,,,46399.61966,7445.837631,,
Euphagus,cyanocephalus,Icteridae,Brewer's Blackbird,5100,,,,,,Partial,,Yes,,,,,,,,day,day,day,Yes,Yes,Yes,1000,1000,16.3,short,3005.569718,363.1488677,1845.583975,1909.259534,5648.478545,1243.171196,909.9511272,422.9274209
Spizella,breweri,Passerellidae,Brewer's Sparrow,5620,Concurrent,,Concurrent,150,300,Complete,,Yes,150,Small,Small,,,,,night,day,night,,,,2,2,112.7,short,-1063.178519,1519.318058,-1085.13713,-307.5772916,29766.62519,16357.20788,1806.311277,473.5536174
Numenius,tahitiensis,Scolopacidae,Bristle-thighed Curlew,2680,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,,night,,night,,,,350,350,176,short,,,,,,,,
Selasphorus,platycercus,Trochilidae,Broad-tailed Hummingbird,4320,Adults first,,Adults first,210,300,Partial,,,,,,,,,,day,,day,,No,No,,1,3.2,short,-11434.30018,7955.310565,177.1274773,453.4491504,7333.378387,18445.17959,1385.201488,505.3770187
Buteo,platypterus,Accipitridae,Broad-winged Hawk,3430,Juveniles first,Concurrent,Concurrent,250,350,Complete,,Yes,5000,Large,Large,,,,,day,day,day,No,,No,1,1,357,long,-11517.4457,-85.80897893,430.8191782,450.5219327,9490.850935,17711.27847,716.5123776,356.207989
Certhia,americana,Certhiidae,Brown Creeper,7260,Concurrent,,Concurrent,250,330,Partial,,Yes,50,Small,Small,,,,,night,,night,No,No,No,200,200,153,short,-5299.578805,5318.885102,7158.79417,2948.268436,562.0841852,378.4216038,1689.262619,558.9834806
Pelecanus,occidentalis,Pelecanidae,Brown Pelican,1260,,,,,,Partial,,Yes,,Medium,Medium,,,,,day,night,day,No,,No,1,1,59.2,short,-10004.84846,4666.565618,-2687.908922,2882.400773,8056.963718,7929.891295,10150.65522,9137.175754
Toxostoma,rufum,Mimidae,Brown Thrasher,7050,Adults first,,Adults first,250,350,Partial,,,10,,Small,,,,,night,,night,,No,No,50000,9000,1147,long,2549.913405,3170.555181,304.3554648,-3253.553629,775.0036129,898.7665092,207.8811717,179.0890382
Molothrus,ater,Icteridae,Brown-headed Cowbird,4950,Concurrent,,Concurrent,200,350,Partial,,Yes,,,,,,,,day,day,day,,Yes,Yes,1000,,22.3,short,,,-1627.192548,1298.346574,,,169.8601266,147.0260552
Calidris,subruficollis,Scolopacidae,Buff-breasted Sandpiper,2620,,,,,,Complete,,Sometimes,,Small,Small,,,,,night,night,night,,,,16,16,207.8,long,,,,,,,,
Bucephala,albeola,Anatidae,Bufflehead,1530,,Concurrent,Concurrent,,,Complete,,Yes,1200,Large,Large,Tight,,,,night,night,night,,,,7000,7000,3232,long,798.3508671,4198.292406,2240.587389,660.5693028,48762.2814,11317.76003,4833.247316,5109.002926
Icterus,bullockii,Icteridae,Bullock's Oriole,5080,,,,,,Complete,Very limited residency reported,Yes,,Small,Small,,,,,night,,night,No,,No,200,200,14.7,short,,,681.8071375,2097.624101,,,775.0689342,332.0065658
Athene,cunicularia,Strigidae,Burrowing Owl,3780,,,,,,Partial,,,,,,,,,,,night,night,,No,No,30,30,30,long,-5436.667271,443.888536,-689.4745443,-1280.964703,5622.399855,3830.240387,1724.193712,754.6951553
Larus,californicus,Laridae,California Gull,530,,Juveniles first,Juveniles first,,,Complete,Very limited residency reported,No,6,,Solo,,Sometimes,,,day,,day,No,,No,200,200,14.4,long,,,2790.25449,-2924.862016,,,10553.64366,2459.489541
Stellula,calliope,Trochilidae,Calliope Hummingbird,4360,Adults first,Adults first,Adults first,180,280,Complete,,No,1,,Solo,,,,,day,,day,,No,No,1,1,2.68,long,,,-404.9087634,-2248.799136,,,5154.045648,3261.151218
Branta,canadensis,Anatidae,Canada Goose,1720,,Concurrent,Concurrent,,,Partial,,Yes,150,Medium,Medium,Tight,,,Flock size varies greatly,night,night,night,Yes,,Yes,2900,2900,1519,long,,,10981.21317,1122.059972,,,9268.908163,2498.603128
Cardellina,canadensis,Parulidae,Canada Warbler,6860,Adults first,Juveniles first,Juveniles first,200,330,Complete,,Sometimes,300,Small,Small,,,,,night,,night,,Yes,Yes,50000,22450,566,long,,,-6774.794703,408.4180562,,,1925.097405,928.2469124
Aythya,valisineria,Anatidae,Canvasback,1470,Concurrent,Concurrent,Concurrent,220,350,Complete,,Yes,350,Small,Small,Tight,,,Adult males migrate before adult females and young.,,night,night,,,,15000,15000,1054,long,,,1513.531138,-733.6913845,,,3638.480077,6555.527243
Setophaga,tigrina,Parulidae,Cape May Warbler,6500,Adults first,Adults first,Adults first,200,320,Complete,,Yes,,Small,Small,,,,Mixed Species flocks,night,,night,,Yes,Yes,1,1,15.32,long,,,-511.7945309,633.605891,,,5595.431247,5332.078584
Hydroprogne,caspia,Laridae,Caspian Tern,640,,Concurrent,Concurrent,,,Partial,,Sometimes,1000,Small,Small,,Yes,,Flocks may be medium,day,day,day,Yes,,Yes,2000,2000,23.9,long,-11076.90324,2452.029625,-2958.43598,4268.463681,12754.38867,9770.203883,5546.902028,3438.723948
Haemorhous,cassinii,Fringillidae,Cassin's Finch,5180,,Adults first,Adults first,,,Partial,,Yes,,,,,,Sometimes,,,,,,,,,,17.8,short,-4359.830011,1252.831931,-136.4024801,-4071.26713,22081.7134,6408.078758,4358.493018,2127.004786
Tyrannus,vociferans,Tyrannidae,Cassin's Kingbird,4480,,,,,,Partial,,Sometimes,,Small,Small,,,,,day,night,day,,,,,2,39.2,short,60.85856986,-41.75613977,2486.222899,582.476113,13080.9245,857.3442142,3698.840852,2195.341256
Peucaea,cassinii,Passerellidae,Cassin's Sparrow,5780,,,,,,Partial,,,,,,,,,,night,,night,,No,No,8363,8363,3290,short,-1864.080427,-634.333775,-520.2824135,1065.573734,5285.124227,7880.983432,1698.467873,1571.980295
Vireo,cassinii,Vireonidae,Cassin's Vireo,6291,,,,,,Partial,,,,,,,,,,,night,night,,,,26,2,12.5,short,,,-389.5290938,-3928.046015,,,2611.892541,1402.042724
Bubulcus,ibis,Ardeidae,Cattle Egret,2001,,,,,,Partial,,Yes,3,Small,Small,,,,,day,night,day,No,,No,1,1,241,short,-604.0949481,-149.9146233,-8132.79207,1543.539702,4414.217729,4471.395824,1800.331749,2929.021317
Bombycilla,cedrorum,Bombycillidae,Cedar Waxwing,6190,Concurrent,,Concurrent,200,330,Partial,,Yes,1000,Small,Small,,,,Medium and large flocks also noted,day,day,day,Yes,Yes,Yes,3000,3000,58.6,short,,,4478.474194,-4427.785977,,,849.3130264,459.7548841
Setophaga,cerulea,Parulidae,Cerulean Warbler,6580,Adults first,,Adults first,230,340,Complete,,,,,,,,,,night,night,night,,Yes,Yes,100,3,11.9,short,,,640.2986529,243.8502087,,,1950.571898,285.8004022
Calcarius,ornatus,Calcariidae,Chestnut-collared Longspur,5380,,,,,,Complete,,Yes,550,Small,Small,,,,,night,night,night,,No,No,300,300,79.3,long,,,-1731.503976,368.0052448,,,1482.977952,1916.925907
Setophaga,pensylvanica,Parulidae,Chestnut-sided Warbler,6590,Concurrent,,Concurrent,220,320,Complete,,Sometimes,,Small,Small,,,,Mixed Species flocks,night,night,night,,Yes,Yes,5,1,13.2,short,,,-3194.805192,1233.356196,,,619.8446498,318.9611686
Chaetura,pelagica,Apodidae,Chimney Swift,4230,,,,,,Complete,,Yes,450,Large,Large,Tight,,,,day,day,day,,No,No,70,70,18.8,long,,,2411.646921,1025.400423,,,405.6640072,138.0651602
Spizella,passerina,Passerellidae,Chipping Sparrow,5600,Adults first,,Adults first,250,350,Partial,,Yes,,Small,Small,,,,Flocks may be medium,night,,night,,Yes,Yes,1,1,47.6,short,,,8389.937758,-3481.674001,,,519.2135073,271.1109855
Antrostomus,carolinensis,Caprimulgidae,Chuck-will's-widow,4160,,,,,,Partial,,Yes,,Small,Small,,,,,day,night,day,No,No,No,,,16.6,short,-2919.2119,426.9199593,-291.2811629,651.0916202,5036.399783,6310.022425,549.907754,451.4434091
Spatula,cyanoptera,Anatidae,Cinnamon Teal,1410,,Concurrent,Concurrent,,,Partial,,Yes,10000,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,night,night,No,,No,26000,26000,1800,short,-16261.29764,9779.145869,2827.92688,630.699622,26580.46238,5521.881567,5063.851593,1302.127951
Rallus,crepitans,Rallidae,Clapper Rail,2110,,,,,,Partial,,,,,,,,,,night,night,night,,,,25000,25000,23.2,long,-302.5307285,78.11357916,-1222.024207,185.3626712,9223.699722,6394.190994,3723.915054,4083.127032
Spizella,pallida,Passerellidae,Clay-colored Sparrow,5610,Concurrent,,Concurrent,220,300,Complete,,Yes,,,,,,,,night,night,night,,Yes,Yes,26,1,50.3,short,5983.117051,396.6869339,-532.331969,-205.3194289,10390.45659,21717.56175,325.1911538,666.2428053
Petrochelidon,pyrrhonota,Hirundidae,Cliff Swallow,6120,,,,,,Complete,,Yes,,Medium,Medium,,,,Flocks can be large,day,night,day,,Yes,Yes,350,75,28.3,short,,,13380.18921,-7012.857954,,,2119.603363,947.5662599
Leiothlypis,crissalis,Parulidae,Colima Warbler,,,,,,,Complete,,,,,,,,,,,,,,,,1,1,62.2,short,,,,,,,,
Somateria,mollissima,Anatidae,Common Eider,1590,,,,,,Partial,,Yes,30,Large,Large,Tight,,,Flock size varies greatly,day,,day,,,,10000,,1494,short,-42.15800993,896.1037896,-8.83E-13,0,22674.61623,9030.524432,46604.43412,27291.50044
Gallinula,galeata,Rallidae,Common Gallinule,2190,,,,,,Partial,,,600,,Medium,,,,,night,night,night,,,,7000,7000,136.5,long,,,-809.2497134,-97.18508261,,,3253.560211,7158.205019
Bucephala,clangula,Anatidae,Common Goldeneye,1510,,,,,,Complete,,Yes,2000,Small,Small,Loose,,,,,night,night,,,,50,50,465,short,-10114.93992,499.7422997,-1711.521712,39.15923602,5693.11127,4302.682505,1377.894754,5058.117542
Quiscalus,quiscula,Icteridae,Common Grackle,5110,,,,,,Partial,,Yes,,Medium,Medium,,,,,day,night,day,,Yes,Yes,8,8,19,long,,,-4292.161962,2697.43103,,,360.2514034,163.8372887
Gavia,immer,Gaviidae,Common Loon,70,,Adults first,Adults first,,,Complete,,Sometimes,,Small,Small,,No,,,day,,day,Yes,,Yes,50,50,26.3,short,,,2180.742925,-590.4696181,,,826.7988227,815.87449
Mergus,merganser,Anatidae,Common Merganser,1290,,,,,,Complete,Pottentially limited residency,Yes,,Small,Small,Loose,,,,night,night,night,No,,No,10000,10000,1059,long,4101.825073,4950.826535,17069.59635,-902.6109371,4668.383177,3567.678271,3526.400329,2184.936341
Uria,aalge,Alcidae,Common Murre,300,,Concurrent,Concurrent,,,Partial,,,,,,,Yes,,Offspring pair with parent at first,,,,No,,No,13000,7906,958,short,,,,,,,,
Chordeiles,minor,Caprimulgidae,Common Nighthawk,4200,,,,,,Complete,,Yes,,Medium,Medium,,,,Flocks may be large,night,night,night,No,No,No,50,50,45.6,long,,,-5790.398771,5817.822229,,,543.3601321,624.0763109
Acanthis,flammea,Fringillidae,Common Redpoll,5280,Concurrent,Concurrent,Concurrent,250,310,Partial,Irruptive,Yes,,Small,Small,Loose,,,Flocks can be large,day,night,day,Yes,Yes,Yes,27,,25,short,-570.1982566,606.0621934,,,169558.7585,159105.8424,,
Sterna,hirundo,Laridae,Common Tern,700,,,,,,Complete,,Yes,120,Medium,Medium,,,,Flocks may be small or large,night,day,night,,,,10000,10000,47.5,short,,,426.8109869,-408.7563773,,,14936.73706,6311.67646
Geothlypis,trichas,Parulidae,Common Yellowthroat,6810,Concurrent,Concurrent,Concurrent,250,350,Partial,,,100,,Small,,,,,night,,night,,Yes,Yes,5,5,343,long,-10865.33655,3067.282439,-2143.340446,2965.661202,1455.046915,1641.00393,231.3251814,166.3766691
Oporornis,agilis,Parulidae,Connecticut Warbler,6780,Concurrent,,Concurrent,230,300,Complete,,,,,,,,,,night,night,night,Yes,Yes,Yes,25,7,11,long,,,-2518.807253,1801.240867,,,931.2935117,6712.445971
Accipiter,cooperii,Accipitridae,Cooper's Hawk,3330,Juveniles first,Juveniles first,Juveniles first,230,310,Partial,,Sometimes,5,Small,Small,,,,,day,day,day,No,,No,1,1,349,short,,,6971.848219,-637.3901153,,,740.1049089,317.473216
Empidonax,occidentalis,Tyrannidae,Cordilleran Flycatcher,4640,,Adults first,Adults first,,,Partial,,,,,,,,,,,night,night,,,,,1,13.2,long,,,2237.058858,1973.75235,,,4578.144114,2181.060016
Junco,hyemalis,Passerellidae,Dark-eyed Junco,,,Adults first,Adults first,,,Partial,"sub-species sepearated in banding. Gray-headed, oregon, white-winged, slate-colored",No,,,Solo,,,,,night,night,night,Yes,Yes,Yes,11,1,8.9,long,,,,,,,,
Spiza,americana,Cardinalidae,Dickcissel,6040,,,,,,Complete,Very limited residency reported,Yes,30,Large,Large,,,,,night,day,night,Yes,Yes,Yes,300,300,352,short,-18618.48631,-17544.45698,-1308.259197,-84.84912027,18366.26455,26382.0741,204.3924425,307.6506992
Nannopterum,auritus,Phalacrocoracidae,Double-crested Cormorant,1200,,,,,,Partial,,Yes,,Small,Small,,,,Flocks may be medium and large,day,night,day,,,,1000,1000,692,short,,,2598.538923,3145.338261,,,4817.182275,2491.23363
Calidris,alpina,Scolopacidae,Dunlin,2430,,,,,,Complete,,Yes,100,Small,Small,,,,Flocks may be medium,night,,night,Yes,,Yes,,20,640.1,short,22597.59179,-8838.694431,,,202815.1536,453453.1055,,
Empidonax,oberholseri,Tyrannidae,Dusky Flycatcher,4690,,,,,,Complete,,,,,,,,,,night,night,night,,,,,1,11.5,long,,,682.8299467,-5701.299104,,,2771.370089,1722.492785
Podiceps,nigricollis,Podicipedidae,Eared Grebe,40,,,,,,Partial,,Yes,140,Small,Small,,,,,night,,night,,,,50,50,108.1,long,-58814.11116,15714.54371,2396.03964,939.817741,1163909.1,920395.8522,10968.5581,5417.136223
Sialia,sialis,Turdidae,Eastern Bluebird,7660,Adults first,,Adults first,300,350,Partial,,Yes,100,Small,Small,,,,Juvenile only flocks. Flocks may be medium,day,day,day,,Yes,Yes,50,50,29.5,short,,,666.4348334,1010.284234,,,341.982267,192.9675294
Tyrannus,tyrannus,Tyrannidae,Eastern Kingbird,4440,,,,,,Complete,,Yes,,Small,Small,,,,Flocks may be medium or large,day,day,day,,Yes,Yes,,1,38.5,short,,,-3795.131431,1261.268033,,,245.019978,133.1894085
Sturnella,magna,Icteridae,Eastern Meadowlark,5010,,,,,,Partial,,Yes,,Small,Small,,,,Flocks may medium,night,day,night,,No,No,500,500,5974,long,,,-4751.961223,2014.922381,,,283.308562,218.5204852
Sayornis,phoebe,Tyrannidae,Eastern Phoebe,4560,Adults first,,Adults first,250,340,Partial,,No,1,,Solo,,,,,day,day,day,,,,26,1,19.7,short,,,-4865.238134,-4089.267338,,,529.7007498,231.9695629
Pipilo,erythrophthalmus,Passerellidae,Eastern Towhee,5870,Adults first,,Adults first,270,350,Partial,,Yes,3,Small,Small,Loose,,,,night,day,night,,No,No,10,10,3682,short,-280.5667621,2155.298863,-4449.827942,-2448.232475,1218.095566,819.2787465,430.5855938,188.9456584
Antrostomus,vociferus,Caprimulgidae,Eastern Whip-poor-will,4171,,,,,,Complete,,Yes,1,Small,Small,Loose,,,,night,night,night,No,No,No,50,50,13.8,long,2759.943878,619.839349,-1664.788967,-1005.489086,6727.545049,5761.913168,1452.250294,442.0654443
Contopus,virens,Tyrannidae,Eastern Wood-Pewee,4610,Adults first,,Adults first,230,320,Complete,,,1,,Solo,,,,,night,,night,,No,No,1,1,14.1,long,,,-660.9215243,1144.599571,,,301.8905486,108.5208244
Thalasseus,elegans,Laridae,Elegant Tern,660,,Concurrent,Concurrent,,,Complete,,Yes,15,Small,Small,,Yes,,Flocks may be medium,,day,day,,,,500,500,115.3,short,,,,,,,,
Anser,canagicus,Anatidae,Emperor Goose,1760,,,,,,Complete,,Yes,30,,Small,,,,,,night,night,Yes,,Yes,880,880,1371,short,,,,,,,,
Numenius,borealis,Scolopacidae,Eskimo Curlew,,,,,,,Complete,declared extinct by some,Yes,,,,,,,,night,,night,,,,200,200,259.6,long,,,,,,,,
Buteo,regalis,Accipitridae,Ferruginous Hawk,3480,,Adults first,Adults first,,,Partial,,,1,,Solo,,,,,day,day,day,No,,No,12,12,1163,short,-865.0406925,3554.170035,-1287.187892,2510.547551,4179.729198,1518.192058,1408.292193,833.8701118
Spizella,pusilla,Passerellidae,Field Sparrow,5630,Adults first,,Adults first,280,360,Partial,,Yes,,Small,Small,,,,,night,,night,,No,No,1,1,58.3,short,,,-5302.850949,-447.9425806,,,380.5499487,117.7385514
Psiloscops,flammeolus,Strigidae,Flammulated Owl,3740,,,,,,Partial,,No,,,Solo,,,,,night,,night,,,,30,10,38,short,,,,,,,,
Sterna,forsteri,Laridae,Forster's Tern,690,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,Yes,,,,night,night,,,,30,3,36.1,long,-1507.633992,1684.286807,20986.6738,-3252.608139,4066.919487,4966.634698,5394.778738,3974.608512
Passerella,iliaca,Passerellidae,Fox Sparrow,5850,Concurrent,,Concurrent,240,330,Complete,,Sometimes,180,Small,Small,,,,,night,day,night,Yes,Yes,Yes,2000,2000,6130,long,,,-4394.817092,-949.147747,,,2707.763298,1083.989854
Leucophaeus,pipixcan,Laridae,Franklin's Gull,590,,,,,,Complete,,Yes,,Large,Large,,,,Flocks may be small or medium,day,day,day,Yes,,Yes,300,,67.2,short,864.1951586,-84.21819869,-898.1461127,8390.62574,10349.98623,76040.32685,20076.76701,20146.01677
