Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Vireo,gilvus,Vireonidae,Warbling Vireo,6270,,,,,,Partial,,Yes,,,,,,Sometimes,Mixed species flocks,night,night,night,,No,No,50,,15.3,long,,,1966.316457,1303.767408,,,348.6687888,238.2216849
Sialia,mexicana,Turdidae,Western Bluebird,7670,,,,,,Partial,,Yes,20,Small,Small,Loose,Yes,Yes,,day,day,day,,,,13,13,25.8,short,,,-735.0202982,1689.206951,,,3046.10237,1059.430614
Aechmophorus,occidentalis,Podicipedidae,Western Grebe,10,,,,,,Partial,,Yes,,,,,,,,night,night,night,,,,45,35,6.3,short,,,6586.9911,283.0468343,,,19466.16011,5653.835625
Tyrannus,verticalis,Tyrannidae,Western Kingbird,4470,,Adults first,Adults first,,,Complete,,Sometimes,,Small,Small,Loose,,,Flocks may be medium,day,,day,,No,No,,1,45,short,-5432.671499,4736.886053,-1400.528311,42.63617895,11024.47387,11232.68133,449.3656833,201.9050526
Sturnella,neglecta,Icteridae,Western Meadowlark,5011,,,,,,Partial,,Yes,12,Small,Small,Loose,,,Flocks may medium,night,day,night,,No,No,590,130,2349,long,2730.908289,96.78103876,-4468.288201,-224.3252738,3944.474319,1447.48721,376.3401582,247.8512498
Calidris,mauri,Scolopacidae,Western Sandpiper,2470,Adults first,Adults first,Adults first,180,300,Complete,,Yes,300,,Medium,,,,,night,night,night,,,,100,100,49.7,long,24036.80325,-4058.774415,,,22895.67712,18423.62785,,
Piranga,ludoviciana,Cardinalidae,Western Tanager,6070,Adults first,Adults first,Adults first,200,340,Complete,,Sometimes,30,Small,Small,,,,,night,night,night,,,,,596,100.7,short,-1210.000384,679.6870958,76.82023917,2860.851206,10481.67802,1146.556011,1523.492197,620.9739675
Contopus,sordidulus,Tyrannidae,Western Wood-Pewee,4620,Adults first,,Adults first,220,300,Complete,,No,,,Solo,,,,,,,,,,,,1,12.8,long,,,8.625862364,6629.408165,,,3635.444924,1436.763503
Numenius,phaeopus,Scolopacidae,Whimbrel,2650,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,,night,,night,Yes,,Yes,530,530,158,short,-13053.49533,2577.443664,,,7362.323642,1930.61938,,
Eudocimus,albus,Threskiornithidae,White Ibis,1840,,,,,,Partial,,Yes,,,,,,,,,,,,,,5000,5000,1036,short,-4030.419236,1091.391703,-13063.37277,997.4521302,3809.815928,4707.674112,12363.03959,18721.98248
