"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
3490,"Aquila","chrysaetos",793.406663663751,1132.50607263189,"Partial","short","Yes",3477,0.19,0.17,"Aquila chrysaetos","Aquila_chrysaetos",100,80,"VertFishScav",13.85005108,"ACCIPITRIFORMES",1132.50607263189
3640,"Pandion","haliaetus",11463.9937111983,1854.85707708939,"Partial","long","No",409,1.96,0.12,"Pandion haliaetus","Pandion_haliaetus",60,100,"VertFishScav",7.954559923,"ACCIPITRIFORMES",1854.85707708939
3160,"Zenaida","macroura",3936.66744252187,156.070164788213,"Partial","short","Yes",13.6,-0.42,27.59,"Zenaida macroura","Zenaida_macroura",60,90,"PlantSeed",2.638357993,"COLUMBIFORMES",156.070164788213
3190,"Zenaida","asiatica",16549.0947019157,4333.21590438823,"Partial","short","Yes",15.3,0.46,13.91,"Zenaida asiatica","Zenaida_asiatica",60,60,"PlantSeed",2.980386011,"COLUMBIFORMES",4333.21590438823
3120,"Patagioenas","fasciata",1868.43346254325,4474.28516125953,"Partial","short","Yes",13.4,-1.27,2.41,"Patagioenas fasciata","Patagioenas_fasciata",50,70,"PlantSeed",3.826348434,"COLUMBIFORMES",4474.28516125953
40,"Podiceps","nigricollis",2573.76443016155,11224.9466716241,"Partial","long","Yes",108.1,1.43,1.71,"Podiceps nigricollis","Podiceps_nigricollis",60,80,"Invertebrate",5.027990321,"PODICIPEDIFORMES",11224.9466716241
20,"Podiceps","grisegena",15088.6595310652,11276.3108674827,"Complete","long","Yes",186.8,1.28,0.36,"Podiceps grisegena","Podiceps_grisegena",70,50,"Omnivore",5.626612132,"PODICIPEDIFORMES",11276.3108674827
1860,"Plegadis","falcinellus",18157.0824795079,7866.93511494607,"Partial","short","Yes",650,4.43,1.87,"Plegadis falcinellus","Plegadis_falcinellus",50,80,"Invertebrate",4.606829092,"PELECANIFORMES",7866.93511494607
2000,"Egretta","caerulea",4416.88512257108,2634.90680683488,"Partial","short","Yes",296,-1.23,2.3,"Egretta caerulea","Egretta_caerulea",100,60,"Invertebrate",2.813791458,"PELECANIFORMES",2634.90680683488
2010,"Butorides","virescens",940.235868697415,438.494433685007,"Partial","short","Yes",364,-1.32,0.57,"Butorides virescens","Butorides_virescens",80,40,"VertFishScav",4.210398689,"PELECANIFORMES",438.494433685007
