"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","WithAdults","Flocks","FlocksWithAdults","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
7550,"Hylocichla","mustelina",5335.69558977525,395.489787649761,"Complete","long","No","No","Solo",47.8,-1.3,4.52,"Hylocichla mustelina","Hylocichla_mustelina",80,60,"Invertebrate",2.335115851,"PASSERIFORMES",395.489787649761
6200,"Phainopepla","nitens",1660.16398642992,5076.12180909895,"Complete","short","Yes","Yes","FlocksWithAdults",109.9,1.23,1.98,"Phainopepla nitens","Phainopepla_nitens",40,60,"FruiNect",2.327780669,"PASSERIFORMES",5076.12180909895
7490,"Corthylio","calendula",6890.01387425533,1388.06695376423,"Complete","long","No","Yes","FlocksNoAdults",35.9,0.7,12.24,"Corthylio calendula","Regulus_calendula",50,80,"Invertebrate",1.565434368,"PASSERIFORMES",1388.06695376423
6070,"Piranga","ludoviciana",2861.88241752398,626.623907030483,"Complete","short","No","Yes","FlocksNoAdults",100.7,0.55,6.36,"Piranga ludoviciana","Piranga_ludoviciana",40,80,"Invertebrate",2.230321436,"PASSERIFORMES",626.623907030483
5950,"Pheucticus","ludovicianus",5848.67928204902,517.360155629728,"Complete","long","Yes","Yes","FlocksWithAdults",46.1,-0.25,2.06,"Pheucticus ludovicianus","Pheucticus_ludovicianus",30,50,"Omnivore",2.401811084,"PASSERIFORMES",517.360155629728
5960,"Pheucticus","melanocephalus",5945.5709892556,557.327288689181,"Partial","long","No","Yes","FlocksNoAdults",92.1,0.42,2.96,"Pheucticus melanocephalus","Pheucticus_melanocephalus",50,70,"Invertebrate",2.59560266,"PASSERIFORMES",557.327288689181
5970,"Passerina","caerulea",1155.98908651164,315.514863652545,"Partial","long","No","Yes","FlocksNoAdults",28.1,0.72,3.2,"Passerina caerulea","Passerina_caerulea",100,40,"Omnivore",3.085739873,"PASSERIFORMES",315.514863652545
6050,"Calamospiza","melanocorys",2068.68782200312,2491.24024129278,"Complete","long","No","Yes","FlocksNoAdults",15.9,-3.66,217.87,"Calamospiza melanocorys","Calamospiza_melanocorys",50,60,"PlantSeed",2.030157659,"PASSERIFORMES",2491.24024129278
5520,"Chondestes","grammacus",4548.71453551907,475.048386114755,"Partial","long","No","Yes","FlocksNoAdults",9.3,-1.18,5.56,"Chondestes grammacus","Chondestes_grammacus",80,70,"PlantSeed",2.047361259,"PASSERIFORMES",475.048386114755
5620,"Spizella","breweri",1127.88580183801,1863.77459363983,"Complete","short","Yes","Yes","FlocksWithAdults",112.7,-0.89,27.58,"Spizella breweri","Spizella_breweri",100,50,"Omnivore",2.117613195,"PASSERIFORMES",1863.77459363983
5730,"Amphispiza","bilineata",4306.79670350641,2276.01824313325,"Partial","long","Yes","Yes","FlocksWithAdults",15.5,-0.44,27.69,"Amphispiza bilineata","Amphispiza_bilineata",100,50,"Omnivore",2.202279982,"PASSERIFORMES",2276.01824313325
5870,"Pipilo","erythrophthalmus",5078.85921865235,372.090845692095,"Partial","short","No","Yes","FlocksNoAdults",3682,-1.4,7.3,"Pipilo erythrophthalmus","Pipilo_erythrophthalmus",80,40,"Omnivore",2.611333014,"PASSERIFORMES",372.090845692095
5900,"Pipilo","chlorurus",1055.00414695481,2158.3353152165,"Complete","short","Yes","Yes","FlocksWithAdults",2498,0.08,5.26,"Pipilo chlorurus","Pipilo_chlorurus",70,40,"Omnivore",2.780343374,"PASSERIFORMES",2158.3353152165
5480,"Ammospiza","leconteii",3015.07466035523,2099.36014046892,"Complete","long","No","No","Solo",9.6,-0.41,3,"Ammospiza leconteii","Ammodramus_leconteii",80,80,"PlantSeed",1.850571857,"PASSERIFORMES",2099.36014046892
5400,"Pooecetes","gramineus",6743.0964330001,478.017565138645,"Partial","short","Yes","Yes","FlocksWithAdults",161.1,-0.83,14.95,"Pooecetes gramineus","Pooecetes_gramineus",80,50,"Omnivore",2.214711172,"PASSERIFORMES",478.017565138645
5540,"Zonotrichia","leucophrys",4715.22464792859,1253.19864233658,"Partial","short","No","No","Solo",421.6,-0.2,4.49,"Zonotrichia leucophrys","Zonotrichia_leucophrys",80,70,"PlantSeed",1.976042999,"PASSERIFORMES",1253.19864233658
6830,"Icteria","virens",4836.79799050232,323.864949049105,"Complete","short","No","Yes","FlocksNoAdults",32.3,-0.73,4.05,"Icteria virens","Icteria_virens",100,80,"Invertebrate",2.241553184,"PASSERIFORMES",323.864949049105
6810,"Geothlypis","trichas",3659.10571513826,157.928686569263,"Partial","long","Yes","Yes","FlocksWithAdults",343,-0.58,8.38,"Geothlypis trichas","Geothlypis_trichas",80,100,"Invertebrate",2.343523015,"PASSERIFORMES",157.928686569263
6750,"Parkesia","noveboracensis",8825.88508412842,1275.44541775906,"Complete","long","No","Yes","FlocksNoAdults",10.1,1.04,1.82,"Parkesia noveboracensis","Seiurus_noveboracensis",80,90,"Invertebrate",2.215035085,"PASSERIFORMES",1275.44541775906
6480,"Setophaga","americana",8983.55248482559,640.327886369944,"Complete","long","No","Yes","FlocksNoAdults",10.3,1.22,1.86,"Setophaga americana","Parula_americana",80,70,"Invertebrate",1.916144929,"PASSERIFORMES",640.327886369944
6730,"Setophaga","discolor",179.336804834251,925.433560045451,"Partial","short","No","Yes","FlocksNoAdults",13.1,-1.93,1.71,"Setophaga discolor","Dendroica_discolor",60,80,"Invertebrate",2.034808822,"PASSERIFORMES",925.433560045451
6680,"Setophaga","townsendi",2443.30303106944,2279.01627081556,"Complete","long","Yes","Yes","FlocksWithAdults",14.39,-0.14,10.23,"Setophaga townsendi","Dendroica_townsendi",80,100,"Invertebrate",1.955404048,"PASSERIFORMES",2279.01627081556
6710,"Setophaga","pinus",5974.93213946357,465.876061863715,"Partial","short","No","Yes","FlocksNoAdults",18.9,1.3,4.69,"Setophaga pinus","Dendroica_pinus",80,70,"Invertebrate",2.060304474,"PASSERIFORMES",465.876061863715
6850,"Cardellina","pusilla",665.852221518113,1141.79405958074,"Complete","short","Yes","Yes","FlocksWithAdults",1224,-1.72,1.88,"Cardellina pusilla","Wilsonia_pusilla",80,80,"Invertebrate",1.80820195,"PASSERIFORMES",1141.79405958074
6460,"Leiothlypis","celata",3595.61895577864,2139.48801554221,"Partial","short","Yes","Yes","FlocksWithAdults",44,-0.59,4.69,"Leiothlypis celata","Vermivora_celata",50,70,"Invertebrate",1.846387015,"PASSERIFORMES",2139.48801554221
6450,"Leiothlypis","ruficapilla",2018.29448965301,718.884860282477,"Complete","long","Yes","Yes","FlocksWithAdults",24.4,-0.23,12.04,"Leiothlypis ruficapilla","Vermivora_ruficapilla",40,80,"Invertebrate",1.80329566,"PASSERIFORMES",718.884860282477
6470,"Leiothlypis","peregrina",29663.7304985905,5874.29718996804,"Complete","long","No","Yes","FlocksNoAdults",21.6,-0.58,17.07,"Leiothlypis peregrina","Vermivora_peregrina",40,70,"Invertebrate",1.618440797,"PASSERIFORMES",5874.29718996804
7000,"Anthus","spragueii",2470.40986488456,4329.08842932756,"Complete","long","No","No","Solo",657,-3.24,3.89,"Anthus spragueii","Anthus_spragueii",70,80,"Invertebrate",1.940463213,"PASSERIFORMES",4329.08842932756
3900,"Megaceryle","alcyon",1104.90648865577,267.533098787176,"Partial","short","No","No","Solo",143.6,-0.89,0.27,"Megaceryle alcyon","Megaceryle_alcyon",40,70,"VertFishScav",2.276586039,"CORACIIFORMES",267.533098787176
3670,"Asio","flammeus",1309.34599697592,4973.17959149352,"Partial","short","No","No","Solo",2932,-1.69,0.07,"Asio flammeus","Asio_flammeus",90,100,"VertFishScav",2.457612562,"STRIGIFORMES",4973.17959149352
3320,"Accipiter","striatus",882.955660119972,1092.74081396922,"Partial","short","No","Yes","FlocksNoAdults",103,0.35,0.02,"Accipiter striatus","Accipiter_striatus",25,100,"VertFishScav",3.61611425,"ACCIPITRIFORMES",1092.74081396922
3420,"Buteo","swainsoni",2380.89558290758,623.59938803067,"Complete","long","Yes","Yes","FlocksWithAdults",808,1.08,0.98,"Buteo swainsoni","Buteo_swainsoni",20,60,"VertFishScav",7.660278887,"ACCIPITRIFORMES",623.59938803067
3480,"Buteo","regalis",2821.29432645733,1066.86453774628,"Partial","short","No","No","Solo",1163,0.9,0.23,"Buteo regalis","Buteo_regalis",100,100,"VertFishScav",6.860257537,"ACCIPITRIFORMES",1066.86453774628
3430,"Buteo","platypterus",623.357983944748,619.585687668972,"Complete","long","Yes","Yes","FlocksWithAdults",357,0.64,0.11,"Buteo platypterus","Buteo_platypterus",100,70,"VertFishScav",5.770490449,"ACCIPITRIFORMES",619.585687668972
3520,"Haliaeetus","leucocephalus",2577.51633322186,1813.34480103478,"Partial","short","Yes","Yes","FlocksWithAdults",4230,3.97,0.05,"Haliaeetus leucocephalus","Haliaeetus_leucocephalus",40,30,"VertFishScav",13.34288315,"ACCIPITRIFORMES",1813.34480103478
3490,"Aquila","chrysaetos",793.406663663751,1132.50607263189,"Partial","short","Yes","Yes","FlocksWithAdults",3477,0.19,0.17,"Aquila chrysaetos","Aquila_chrysaetos",100,80,"VertFishScav",13.85005108,"ACCIPITRIFORMES",1132.50607263189
3640,"Pandion","haliaetus",11463.9937111983,1854.85707708939,"Partial","long","No","No","Solo",409,1.96,0.12,"Pandion haliaetus","Pandion_haliaetus",60,100,"VertFishScav",7.954559923,"ACCIPITRIFORMES",1854.85707708939
3190,"Zenaida","asiatica",16549.0947019157,4333.21590438823,"Partial","short","No","Yes","FlocksNoAdults",15.3,0.46,13.91,"Zenaida asiatica","Zenaida_asiatica",60,60,"PlantSeed",2.980386011,"COLUMBIFORMES",4333.21590438823
1860,"Plegadis","falcinellus",18157.0824795079,7866.93511494607,"Partial","short","No","Yes","FlocksNoAdults",650,4.43,1.87,"Plegadis falcinellus","Plegadis_falcinellus",50,80,"Invertebrate",4.606829092,"PELECANIFORMES",7866.93511494607
2210,"Fulica","americana",4685.21190275315,2955.91004902095,"Partial","long","Yes","Yes","FlocksWithAdults",49.5,-0.92,2.93,"Fulica americana","Fulica_americana",50,40,"PlantSeed",1.966725476,"GRUIFORMES",2955.91004902095
2120,"Rallus","limicola",5233.5188750298,2669.9739630593,"Partial","long","No","No","Solo",23.2,0.32,0.02,"Rallus limicola","Rallus_limicola",50,20,"Omnivore",2.141265419,"GRUIFORMES",2669.9739630593
2060,"Antigone","canadensis",24375.5998872058,2545.66048300688,"Partial","short","Yes","Yes","FlocksWithAdults",13.1,4.1,0.96,"Antigone canadensis","Grus_canadensis",50,30,"Omnivore",11.45521958,"GRUIFORMES",2545.66048300688
4290,"Archilochus","alexandri",1067.89227634508,1232.53535568472,"Partial","long","No","No","Solo",3.25,0.31,0.2,"Archilochus alexandri","Archilochus_alexandri",50,90,"FruiNect",1.75930292,"CAPRIMULGIFORMES",1232.53535568472
4280,"Archilochus","colubris",2316.12011228766,224.98439233036,"Complete","long","No","No","Solo",3.08,0.94,0.34,"Archilochus colubris","Archilochus_colubris",40,60,"FruiNect",1.736898616,"CAPRIMULGIFORMES",224.98439233036
4340,"Selasphorus","sasin",599.650735127384,3165.60763443413,"Partial","short","No","No","Solo",2.85,-2.89,1.68,"Selasphorus sasin","Selasphorus_sasin",60,90,"FruiNect",1.92737983,"CAPRIMULGIFORMES",3165.60763443413
4330,"Selasphorus","rufus",1638.14368507402,2714.17014201973,"Complete","long","No","No","Solo",3.27,-2.13,1.37,"Selasphorus rufus","Selasphorus_rufus",60,90,"FruiNect",1.952818558,"CAPRIMULGIFORMES",2714.17014201973
