"AOU","BBS_Lat_slope","BBS_Lon_slope","BBS_Lon_slope_Error","BBS_Lat_slope_Error"
20,-2775.00845686248,14831.2836433246,11298.9969191582,10607.825279571
40,939.817741033202,2396.03963982319,11833.8014013244,5894.55700438123
60,567.637602226939,-340.845859584686,1033.64960088995,1582.92185841897
70,-590.469618092998,2180.74292473123,898.585423870375,886.223894867307
440,77.4003781609693,28.206113654612,15889.2232057546,8997.7683441568
470,-1343.92170909866,-744.774997957649,13844.8507226243,6073.49965789539
510,-1842.59570185491,-4776.49865671154,7842.39312152634,2437.41977177799
530,-2924.86201557427,2790.25448974863,11805.0885747184,2617.35840145529
540,-636.415835102785,20550.6062163466,6006.14168314868,3726.82957829681
580,620.116180688083,-1350.94806595519,11654.2909549867,2375.99228201554
590,8390.62573993173,-898.146112672587,22074.4721192666,23607.31258921
640,4268.46368088905,-2958.43598024291,6092.61294959903,3796.56286738993
650,-1247.93084408711,-3904.10847234351,7494.27565304175,5682.47150033057
690,-3252.60813873462,20986.6737983479,5711.48783606157,4503.93675197101
700,-408.756377326578,426.810986884053,17172.6174055118,7016.13643092429
740,3745.29861269574,-6809.39372995862,9154.84645730992,7863.38433882634
770,2639.03019717373,821.340137507058,2326.89240824931,3771.50655015221
800,470.306105316776,-642.832818740811,11904.9101546266,6745.44696290495
1200,3145.33826069412,2598.53892265795,5546.33103552465,2710.23150336397
1230,554.739146625179,199.552324940871,47787.2750229201,12178.6158967755
1250,-413.852320722948,17551.2188950446,13970.0907482873,5614.37649019445
1260,2882.40077307877,-2687.90892240994,10867.4814801655,9963.33864444313
1290,-902.610937109672,17069.5963469731,3604.48667844193,2304.55440423241
1300,227.596425024585,1798.79897785475,9188.44100286641,10276.3723995587
1310,19.3882542277731,-1356.94625718879,2447.73215068227,2078.72683265466
1330,4257.38851813247,957.491998844769,8023.31797144152,3137.07198913069
1350,1592.62552263851,745.120531819563,1666.22345894594,1648.49915414889
1370,-2278.74594046224,316.095808326962,2320.64970726469,2927.10252713217
1390,1350.10102636566,1858.00257900562,2317.26197910133,2994.21379168527
1400,1692.23454183265,-1133.74913467828,1008.73434872596,2012.94238822388
1410,630.69962196381,2827.92687989824,5435.51048888593,1415.70141397328
1420,255.17247302492,3036.88303744488,2114.9154601676,3014.58754399206
1430,188.965863952033,3084.69613341723,2561.92593240695,3555.40420831802
1440,2863.33472920571,-870.312844660161,838.418915832504,512.407522384363
1460,3009.37309479222,5066.08194971845,4031.36616588878,4465.09590858805
1470,-733.691384498965,1513.53113780753,3878.21532279393,7037.78896191451
1490,247.353814587657,2980.1359559473,2797.0139882487,3451.62494393583
1500,-2055.71037313256,-582.641062119174,4340.06839376103,5815.14262709071
1510,39.1592360212802,-1711.52171191416,1486.87524615818,5481.04080806553
